"Study_No"	"Study_ID"	"Arm_ID"	"Year"	"Drug"	"No_randomised"	"OverallEfficM"	"OverallEfficSD"	"OverallEfficN"	"PosM"	"PosSD"	"PosN"	"NegM"	"NegSD"	"NegN"	"DeprM"	"DeprSD"	"DeprN"	"QolM"	"QolSD"	"QolN"	"SocialFunctM"	"SocialFunctSD"	"SocialFunctN"	"WeightContM"	"WeightContSD"	"WeightContN"	"DefCritWeightGainDich"	"WeightDichN"	"ProlactinM"	"ProlactinSD"	"ProlactinN"	"ProlactinHyperDichN"	"QTcM"	"QTcSD"	"QTcN"	"QTcProlongN"	"NResponseMain"	"NReponseMainDef"	"NResponse50"	"NResponse20"	"DropoutInefficacy"	"DropoutTotal"	"SedationN"	"AntiParkinMedN"	"AkathisiaN"	"LibidoDecrAllN"	"LibidoIncrAllN"	"ErectileDysfunctionN"	"EjaculationDysfunctionN"	"AmenorrheaN"	"GalactorrhoeaN"	"TachykardiaN"	"BradykardiaN"	"ArrhythmiaN"	"ConstipationN"	"BlurredVisionN"	"UrinaryRetentionN"	"DryMouthN"	"HypotensionN"	"SeizuresN"	"LeukopeniaN"	"AgranulozytosisN"	"MaligNeuroSyndrN"	"PulmonaryEmbolismN"	"StrokeN"	"DeepVeinThrombosisN"	"DeathAllN"	"Randomisation"	"Allocation"	"BlindPersonalPatients"	"BlindOutcomeAssesment"	"MissingOutcomes"	"SelectiveReporting"	"OtherBias"	"MeanDose"	"DoseOlaEquivalent"	"Sponsor"	"Duration"	"DoseFixFlex"	"MeanAge"	"DurationIllYears"	"Diag_crit"	"NumberSites"	"ComplITT"	"Placebo"	"BaselineSeverity"	"No_male"	"Blinding_type"	"CalculatedSD"	"PlaceboChange"	"FailedStudy"	"CholinergicN"	"SexualSideEffN"	"RoBCategory"	"HighRoB"
"1"	3	"Abdolahian 2008"	10	2008	"Risperidone"	35	71.3	17	35	18.2	3.57	35	19.2	3.34	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	6	20	NA	8	2	NA	NA	"DSM-IV"	1	NA	0	95.6	35	2	2	NA	0	NA	NA	2	0
"2"	3	"Abdolahian 2008"	9	2008	"Haloperidol"	30	86.1	17	30	21.3	3.57	30	22.1	3.34	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	12.5	25	NA	8	2	NA	NA	"DSM-IV"	1	NA	0	95.3	30	2	2	NA	0	NA	NA	2	0
"3"	14	"Arvanitis 1997"	31	1997	"Placebo"	51	1.71	14.71	51	0.05	1.21	51	0.76	3.64	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8	3.61969389008628	51	">= 7% increase"	3	1.99	18.88	19	NA	-5	24.757979667836	51	0	3	"40%BPRS reduction"	NA	8	30	35	4	7	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	4	NA	NA	0	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	0	NA	0	6	1	36	14	"DSM-III-R"	26	1	1	113	41	2	1	2	0	3	NA	2	0
"4"	14	"Arvanitis 1997"	32	1997	"Quetiapine"	105	-6.99	14.8	104	-0.66	1.23	104	-0.74	3.76	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.45	3.61969389008628	105	">=7% increase"	15	-1.345	18.88	56	NA	2.86	24.757979667836	105	0	27	"40%BPRS reduction"	NA	50	35	52	11	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	14	NA	NA	0	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	677	18.279	1	6	1	36.94	13.97	"DSM-III-R"	26	1	1	112	76	2	1	NA	0	12	NA	2	0
"5"	14	"Arvanitis 1997"	30	1997	"Haloperidol"	52	-7.58	14.85	50	-0.74	1.27	50	-1.83	3.61	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	3.61969389008628	52	">=7% increase"	2	18.3	18.88	24	NA	4	24.757979667836	52	0	10	"40%BPRS reduction"	NA	19	17	34	3	25	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	0	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	12	24	0	6	1	37	16	"DSM-III-R"	26	1	1	111	42	2	1	NA	0	3	NA	2	0
"6"	31	"Beasley 1996a"	70	1996	"Placebo"	50	2.8	20.6	49	0.3	6.5	49	1	6.8	49	-0.64	3.96804	50	NA	NA	NA	NA	NA	NA	0.4	3.1	50	NA	NA	-0.2	36.7063236773344	50	NA	NA	NA	NA	NA	2	"50%PANSS reduction"	2	8	37	40	7	8	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	0	NA	0	6	1	36	14	"DSM-III-R"	12	1	1	95.6	33	2	1	2.8	0	4	2	1	0
"7"	31	"Beasley 1996a"	69	1996	"Olanzapine"	50	-12.3	21.8	49	-4	6.2	49	-2.8	6.3	49	-1.52	3.51812	50	NA	NA	NA	NA	NA	NA	2.2	4	50	NA	NA	1.2	36.7063236773344	50	NA	NA	NA	NA	NA	7	"50%PANSS reduction"	7	19	28	31	6	4	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	10	10	1	6	1	39	18	"DSM-III-R"	12	1	1	98.3	37	2	1	NA	0	3	3	1	0
"8"	32	"Beasley 1996b"	71	1996	"Haloperidol"	69	-12.9	13.5	68	-4.6	5	68	-6.6	15.3	68	-2.8696	3.75701	69	NA	NA	NA	NA	NA	NA	0.91	3.48	67	"adverse event"	NA	13.36	19.12	63	44	1.76	25.52	54	2	23	"50%PANSS reduction"	23	43	19	39	24	47	11	0	1	NA	NA	NA	NA	1	1	0	4	0	0	3	1	0	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	1	1	1	16.4	32.8	0	6	2	36	15	"DSM-III-R"	22	1	1	107	62	2	1	NA	0	4	1	1	0
"9"	32	"Beasley 1996b"	72	1996	"Olanzapine"	133	-13.93	16.06	127	-4.55	5.7	128	-9.83	17.4	127	-3.26312481	4.41355572	133	NA	NA	NA	NA	NA	NA	3.55	3.93	125	"adverse event"	NA	4.6	7.5	121	42	2.73	27.43	109	7	46	"50%PANSS reduction"	46	77	42	73	46	33	10	1	1	NA	NA	NA	NA	8	0	0	16	1	0	12	4	0	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	1	1	1	14.04	14.04	1	6	2	36.5	13.97	"DSM-III-R"	22	1	1	108	110	2	1	NA	0	16	1	1	0
"10"	32	"Beasley 1996b"	73	1996	"Placebo"	68	-3.1	17.5	62	-1.5	5.7	63	-1.9	17.5	65	-1.3529	4.85849	68	NA	NA	NA	NA	NA	NA	-0.42	2.78	65	"adverse event"	NA	1.61	4.61	63	10	-1.77	19.38	54	2	15	"50%PANSS reduction"	15	25	32	46	11	8	1	0	3	NA	NA	NA	NA	1	0	0	0	0	0	3	0	0	NA	NA	NA	NA	NA	NA	1	1	1	0	0	1	1	1	0	NA	0	6	1	35	13	"DSM-III-R"	22	1	1	103	62	2	1	-4	0	3	3	1	0
