"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.301(-0.471,-0.148)","-0.314(-0.467,-0.099)","-0.435(-0.607,-0.211)","-0.362(-0.578,-0.138)","-0.355(-0.565,-0.101)","0.173(-0.095,0.377)","-0.259(-0.401,-0.124)","-0.393(-0.566,-0.233)","-0.375(-0.694,-0.074)","-0.344(-0.502,-0.179)","-0.158(-0.305,-0.011)","-0.224(-0.388,-0.049)","-0.374(-0.873,0.132)","-0.701(-0.839,-0.556)","-0.317(-0.489,-0.124)","-0.132(-0.272,0.029)","-0.354(-0.557,-0.122)","-0.295(-0.466,-0.12)","-0.102(-0.363,0.141)","-0.255(-0.604,0.073)"
"2","0.301(0.148,0.471)","Aripiprazole","-0.013(-0.154,0.159)","-0.134(-0.298,0.061)","-0.061(-0.224,0.117)","-0.055(-0.225,0.158)","0.474(0.223,0.658)","0.042(-0.043,0.145)","-0.092(-0.21,0.053)","-0.074(-0.373,0.19)","-0.043(-0.176,0.101)","0.142(0.044,0.243)","0.077(-0.063,0.213)","-0.074(-0.553,0.418)","-0.401(-0.488,-0.287)","-0.016(-0.117,0.108)","0.169(0.077,0.278)","-0.053(-0.209,0.138)","0.006(-0.119,0.149)","0.199(-0.014,0.419)","0.046(-0.297,0.365)"
"3","0.314(0.099,0.467)","0.013(-0.159,0.154)","Asenapine","-0.121(-0.293,0.07)","-0.048(-0.234,0.13)","-0.042(-0.21,0.162)","0.487(0.305,0.709)","0.055(-0.069,0.185)","-0.079(-0.257,0.081)","-0.061(-0.342,0.264)","-0.03(-0.16,0.145)","0.155(0.039,0.262)","0.09(-0.093,0.237)","-0.061(-0.57,0.4)","-0.388(-0.514,-0.271)","-0.003(-0.158,0.156)","0.182(0.053,0.309)","-0.04(-0.226,0.165)","0.019(-0.141,0.18)","0.212(0.028,0.435)","0.059(-0.288,0.358)"
"4","0.435(0.211,0.607)","0.134(-0.061,0.298)","0.121(-0.07,0.293)","Brexpiprazole","0.072(-0.111,0.303)","0.079(-0.104,0.322)","0.608(0.382,0.836)","0.175(0.017,0.325)","0.042(-0.147,0.177)","0.059(-0.253,0.39)","0.091(-0.109,0.239)","0.276(0.123,0.418)","0.211(0.024,0.386)","0.06(-0.401,0.581)","-0.267(-0.393,-0.135)","0.118(-0.056,0.301)","0.303(0.149,0.457)","0.081(-0.1,0.325)","0.139(-0.044,0.312)","0.333(0.1,0.6)","0.18(-0.242,0.493)"
"5","0.362(0.138,0.578)","0.061(-0.117,0.224)","0.048(-0.13,0.234)","-0.072(-0.303,0.111)","Cariprazine","0.007(-0.181,0.271)","0.536(0.245,0.752)","0.103(-0.025,0.247)","-0.031(-0.201,0.129)","-0.013(-0.289,0.258)","0.019(-0.151,0.233)","0.204(0.039,0.354)","0.139(-0.024,0.328)","-0.012(-0.493,0.493)","-0.339(-0.476,-0.198)","0.045(-0.138,0.221)","0.23(0.081,0.383)","0.009(-0.178,0.252)","0.067(-0.155,0.238)","0.261(-0.014,0.51)","0.107(-0.25,0.399)"
"6","0.355(0.101,0.565)","0.055(-0.158,0.225)","0.042(-0.162,0.21)","-0.079(-0.322,0.104)","-0.007(-0.271,0.181)","Chlorpromazine","0.529(0.333,0.683)","0.096(-0.074,0.211)","-0.037(-0.248,0.104)","-0.02(-0.278,0.209)","0.012(-0.159,0.174)","0.197(0.022,0.359)","0.132(-0.066,0.326)","-0.019(-0.444,0.481)","-0.346(-0.54,-0.214)","0.038(-0.096,0.191)","0.224(0.05,0.375)","0.002(-0.201,0.242)","0.06(-0.152,0.231)","0.254(0.037,0.477)","0.101(-0.346,0.479)"
"7","-0.173(-0.377,0.095)","-0.474(-0.658,-0.223)","-0.487(-0.709,-0.305)","-0.608(-0.836,-0.382)","-0.536(-0.752,-0.245)","-0.529(-0.683,-0.333)","Clozapine","-0.433(-0.596,-0.215)","-0.566(-0.753,-0.335)","-0.549(-0.816,-0.231)","-0.517(-0.722,-0.315)","-0.332(-0.524,-0.099)","-0.397(-0.616,-0.126)","-0.548(-1.028,0)","-0.875(-1.054,-0.661)","-0.49(-0.688,-0.273)","-0.305(-0.493,-0.107)","-0.527(-0.744,-0.254)","-0.469(-0.691,-0.217)","-0.275(-0.479,0.036)","-0.428(-0.861,-0.038)"
"8","0.259(0.124,0.401)","-0.042(-0.145,0.043)","-0.055(-0.185,0.069)","-0.175(-0.325,-0.017)","-0.103(-0.247,0.025)","-0.096(-0.211,0.074)","0.433(0.215,0.596)","Haloperidol","-0.133(-0.242,-0.032)","-0.116(-0.387,0.164)","-0.084(-0.204,0.047)","0.101(0.028,0.179)","0.036(-0.099,0.157)","-0.115(-0.583,0.393)","-0.442(-0.498,-0.375)","-0.058(-0.143,0.061)","0.128(0.051,0.188)","-0.094(-0.23,0.089)","-0.036(-0.155,0.098)","0.158(-0.021,0.363)","0.004(-0.356,0.334)"
"9","0.393(0.233,0.566)","0.092(-0.053,0.21)","0.079(-0.081,0.257)","-0.042(-0.177,0.147)","0.031(-0.129,0.201)","0.037(-0.104,0.248)","0.566(0.335,0.753)","0.133(0.032,0.242)","Iloperidone","0.018(-0.267,0.289)","0.049(-0.098,0.207)","0.234(0.103,0.341)","0.169(0.021,0.323)","0.018(-0.459,0.493)","-0.309(-0.408,-0.205)","0.076(-0.078,0.199)","0.261(0.152,0.355)","0.039(-0.15,0.254)","0.097(-0.035,0.231)","0.291(0.073,0.536)","0.138(-0.225,0.493)"
"10","0.375(0.074,0.694)","0.074(-0.19,0.373)","0.061(-0.264,0.342)","-0.059(-0.39,0.253)","0.013(-0.258,0.289)","0.02(-0.209,0.278)","0.549(0.231,0.816)","0.116(-0.164,0.387)","-0.018(-0.289,0.267)","Loxapine","0.031(-0.228,0.28)","0.217(-0.085,0.477)","0.151(-0.154,0.445)","0.001(-0.557,0.54)","-0.326(-0.602,-0.02)","0.058(-0.221,0.351)","0.243(-0.037,0.549)","0.022(-0.267,0.315)","0.08(-0.212,0.359)","0.274(-0.139,0.604)","0.12(-0.281,0.584)"
