"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.313(-0.478,-0.066)","-0.321(-0.505,-0.116)","-0.444(-0.666,-0.2)","-0.356(-0.545,-0.165)","-0.337(-0.584,-0.039)","0.207(-0.1,0.483)","-0.251(-0.392,-0.079)","-0.389(-0.585,-0.228)","-0.152(-0.449,0.152)","-0.349(-0.555,-0.109)","-0.145(-0.298,0.03)","-0.213(-0.404,0.022)","-0.19(-0.404,0.1)","-0.702(-0.859,-0.524)","-0.297(-0.464,-0.092)","-0.158(-0.304,0.03)","-0.313(-0.528,-0.124)","-0.297(-0.477,-0.093)","-0.103(-0.409,0.237)","-0.289(-0.61,0.079)"
"2","0.313(0.066,0.478)","Aripiprazole","-0.008(-0.154,0.125)","-0.131(-0.295,0.052)","-0.042(-0.211,0.104)","-0.024(-0.211,0.195)","0.52(0.226,0.818)","0.062(-0.052,0.175)","-0.075(-0.224,0.065)","0.161(-0.112,0.38)","-0.036(-0.214,0.121)","0.168(0.045,0.285)","0.1(-0.073,0.26)","0.124(-0.099,0.322)","-0.388(-0.497,-0.28)","0.016(-0.092,0.142)","0.155(0.031,0.261)","0(-0.162,0.156)","0.016(-0.12,0.157)","0.21(-0.002,0.427)","0.024(-0.241,0.332)"
"3","0.321(0.116,0.505)","0.008(-0.125,0.154)","Asenapine","-0.123(-0.283,0.072)","-0.035(-0.224,0.17)","-0.016(-0.23,0.21)","0.528(0.228,0.81)","0.07(-0.058,0.197)","-0.067(-0.239,0.131)","0.169(-0.102,0.447)","-0.028(-0.228,0.139)","0.176(0.058,0.293)","0.108(-0.06,0.247)","0.131(-0.067,0.339)","-0.381(-0.481,-0.247)","0.024(-0.094,0.137)","0.163(0.036,0.292)","0.008(-0.168,0.175)","0.024(-0.111,0.168)","0.218(-0.016,0.431)","0.032(-0.281,0.328)"
"4","0.444(0.2,0.666)","0.131(-0.052,0.295)","0.123(-0.072,0.283)","Brexpiprazole","0.088(-0.087,0.268)","0.107(-0.113,0.329)","0.651(0.316,0.939)","0.193(0.043,0.329)","0.055(-0.142,0.197)","0.292(0.01,0.55)","0.095(-0.147,0.261)","0.299(0.142,0.452)","0.231(0.062,0.426)","0.254(0.047,0.479)","-0.258(-0.375,-0.132)","0.147(0.021,0.283)","0.286(0.131,0.417)","0.131(-0.028,0.3)","0.147(-0.002,0.33)","0.341(0.108,0.577)","0.155(-0.123,0.486)"
"5","0.356(0.165,0.545)","0.042(-0.104,0.211)","0.035(-0.17,0.224)","-0.088(-0.268,0.087)","Cariprazine","0.019(-0.207,0.268)","0.563(0.229,0.85)","0.105(-0.05,0.264)","-0.033(-0.176,0.154)","0.203(-0.123,0.464)","0.006(-0.167,0.21)","0.21(0.056,0.372)","0.142(-0.016,0.331)","0.166(-0.029,0.398)","-0.346(-0.482,-0.213)","0.059(-0.105,0.217)","0.198(0.049,0.334)","0.043(-0.136,0.208)","0.059(-0.109,0.223)","0.253(0.052,0.479)","0.066(-0.223,0.406)"
"6","0.337(0.039,0.584)","0.024(-0.195,0.211)","0.016(-0.21,0.23)","-0.107(-0.329,0.113)","-0.019(-0.268,0.207)","Chlorpromazine","0.544(0.223,0.859)","0.086(-0.102,0.268)","-0.051(-0.273,0.156)","0.185(-0.108,0.461)","-0.012(-0.259,0.236)","0.192(-0.001,0.363)","0.124(-0.086,0.288)","0.148(-0.116,0.409)","-0.364(-0.548,-0.186)","0.04(-0.116,0.215)","0.179(-0.034,0.365)","0.024(-0.168,0.217)","0.04(-0.144,0.226)","0.234(0.022,0.498)","0.048(-0.243,0.377)"
"7","-0.207(-0.483,0.1)","-0.52(-0.818,-0.226)","-0.528(-0.81,-0.228)","-0.651(-0.939,-0.316)","-0.563(-0.85,-0.229)","-0.544(-0.859,-0.223)","Clozapine","-0.458(-0.733,-0.185)","-0.596(-0.871,-0.318)","-0.359(-0.725,0.024)","-0.556(-0.839,-0.322)","-0.352(-0.598,-0.084)","-0.42(-0.688,-0.174)","-0.397(-0.729,-0.049)","-0.909(-1.178,-0.628)","-0.504(-0.806,-0.224)","-0.365(-0.627,-0.082)","-0.52(-0.777,-0.219)","-0.504(-0.785,-0.223)","-0.31(-0.685,-0.016)","-0.496(-0.941,-0.053)"
"8","0.251(0.079,0.392)","-0.062(-0.175,0.052)","-0.07(-0.197,0.058)","-0.193(-0.329,-0.043)","-0.105(-0.264,0.05)","-0.086(-0.268,0.102)","0.458(0.185,0.733)","Haloperidol","-0.138(-0.261,-0.009)","0.098(-0.18,0.313)","-0.098(-0.275,0.045)","0.105(0.038,0.169)","0.038(-0.062,0.168)","0.061(-0.124,0.254)","-0.451(-0.51,-0.403)","-0.046(-0.127,0.048)","0.093(0.015,0.159)","-0.062(-0.213,0.075)","-0.046(-0.148,0.031)","0.148(-0.053,0.373)","-0.038(-0.305,0.291)"
"9","0.389(0.228,0.585)","0.075(-0.065,0.224)","0.067(-0.131,0.239)","-0.055(-0.197,0.142)","0.033(-0.154,0.176)","0.051(-0.156,0.273)","0.596(0.318,0.871)","0.138(0.009,0.261)","Iloperidone","0.236(-0.035,0.471)","0.039(-0.102,0.221)","0.243(0.085,0.36)","0.175(0.021,0.305)","0.199(-0.022,0.422)","-0.313(-0.426,-0.198)","0.092(-0.013,0.217)","0.23(0.087,0.352)","0.075(-0.102,0.203)","0.092(-0.067,0.226)","0.286(0.09,0.53)","0.099(-0.215,0.443)"
"10","0.152(-0.152,0.449)","-0.161(-0.38,0.112)","-0.169(-0.447,0.102)","-0.292(-0.55,-0.01)","-0.203(-0.464,0.123)","-0.185(-0.461,0.108)","0.359(-0.024,0.725)","-0.098(-0.313,0.18)","-0.236(-0.471,0.035)","Loxapine","-0.197(-0.471,0.071)","0.007(-0.236,0.289)","-0.061(-0.337,0.222)","-0.037(-0.344,0.324)","-0.549(-0.758,-0.283)","-0.145(-0.392,0.118)","-0.006(-0.236,0.291)","-0.161(-0.44,0.166)","-0.145(-0.391,0.118)","0.05(-0.283,0.439)","-0.137(-0.492,0.219)"
"11","0.349(0.109,0.555)","0.036(-0.121,0.214)","0.028(-0.139,0.228)","-0.095(-0.261,0.147)","-0.006(-0.21,0.167)","0.012(-0.236,0.259)","0.556(0.322,0.839)","0.098(-0.045,0.275)","-0.039(-0.221,0.102)","0.197(-0.071,0.471)","Lurasidone","0.204(0.057,0.354)","0.136(-0.086,0.297)","0.16(-0.112,0.363)","-0.352(-0.489,-0.196)","0.052(-0.101,0.212)","0.191(0.046,0.338)","0.036(-0.151,0.213)","0.052(-0.115,0.236)","0.246(-0.009,0.487)","0.06(-0.268,0.458)"
"12","0.145(-0.03,0.298)","-0.168(-0.285,-0.045)","-0.176(-0.293,-0.058)","-0.299(-0.452,-0.142)","-0.21(-0.372,-0.056)","-0.192(-0.363,0.001)","0.352(0.084,0.598)","-0.105(-0.169,-0.038)","-0.243(-0.36,-0.085)","-0.007(-0.289,0.236)","-0.204(-0.354,-0.057)","Olanzapine","-0.068(-0.16,0.038)","-0.044(-0.23,0.141)","-0.556(-0.617,-0.49)","-0.152(-0.234,-0.056)","-0.013(-0.108,0.067)","-0.168(-0.319,-0.041)","-0.152(-0.248,-0.04)","0.043(-0.155,0.249)","-0.144(-0.435,0.168)"
"13","0.213(-0.022,0.404)","-0.1(-0.26,0.073)","-0.108(-0.247,0.06)","-0.231(-0.426,-0.062)","-0.142(-0.331,0.016)","-0.124(-0.288,0.086)","0.42(0.174,0.688)","-0.038(-0.168,0.062)","-0.175(-0.305,-0.021)","0.061(-0.222,0.337)","-0.136(-0.297,0.086)","0.068(-0.038,0.16)","Paliperidone","0.024(-0.169,0.228)","-0.488(-0.599,-0.382)","-0.084(-0.201,0.035)","0.055(-0.109,0.158)","-0.1(-0.276,0.05)","-0.084(-0.216,0.056)","0.11(-0.125,0.328)","-0.076(-0.375,0.245)"
"14","0.19(-0.1,0.404)","-0.124(-0.322,0.099)","-0.131(-0.339,0.067)","-0.254(-0.479,-0.047)","-0.166(-0.398,0.029)","-0.148(-0.409,0.116)","0.397(0.049,0.729)","-0.061(-0.254,0.124)","-0.199(-0.422,0.022)","0.037(-0.324,0.344)","-0.16(-0.363,0.112)","0.044(-0.141,0.23)","-0.024(-0.228,0.169)","Perphenazine","-0.512(-0.693,-0.341)","-0.107(-0.28,0.108)","0.032(-0.155,0.221)","-0.123(-0.346,0.114)","-0.107(-0.286,0.095)","0.087(-0.171,0.353)","-0.1(-0.366,0.312)"
