"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.297(-0.483,-0.11)","-0.234(-0.461,-0.008)","-0.371(-0.727,-0.022)","-0.562(-1.071,-0.054)","-0.29(-0.526,-0.066)","0.076(-0.248,0.376)","-0.255(-0.422,-0.084)","-0.413(-0.605,-0.219)","-0.265(-0.527,-0.006)","-0.262(-0.515,-0.01)","-0.123(-0.3,0.046)","-0.181(-0.373,0.007)","-0.195(-0.46,0.066)","-0.724(-0.896,-0.552)","-0.293(-0.48,-0.107)","-0.152(-0.329,0.023)","-0.332(-0.592,-0.072)","-0.329(-0.526,-0.131)","-0.001(-0.409,0.589)","-0.219(-0.578,0.146)"
"2","0.297(0.11,0.483)","Aripiprazole","0.063(-0.105,0.232)","-0.074(-0.395,0.242)","-0.265(-0.759,0.226)","0.007(-0.179,0.18)","0.373(0.075,0.632)","0.042(-0.052,0.139)","-0.116(-0.243,0.011)","0.032(-0.184,0.245)","0.035(-0.179,0.243)","0.174(0.081,0.266)","0.116(-0.008,0.236)","0.102(-0.119,0.32)","-0.427(-0.51,-0.343)","0.004(-0.112,0.12)","0.145(0.046,0.246)","-0.036(-0.248,0.176)","-0.032(-0.164,0.096)","0.296(-0.071,0.873)","0.078(-0.251,0.421)"
"3","0.234(0.008,0.461)","-0.063(-0.232,0.105)","Asenapine","-0.137(-0.479,0.2)","-0.328(-0.829,0.167)","-0.056(-0.274,0.152)","0.31(-0.012,0.597)","-0.021(-0.175,0.135)","-0.179(-0.353,-0.004)","-0.031(-0.274,0.218)","-0.028(-0.271,0.209)","0.111(-0.046,0.264)","0.053(-0.123,0.224)","0.04(-0.21,0.286)","-0.49(-0.639,-0.346)","-0.058(-0.225,0.107)","0.083(-0.075,0.241)","-0.098(-0.343,0.142)","-0.095(-0.276,0.081)","0.233(-0.157,0.828)","0.016(-0.344,0.388)"
"4","0.371(0.022,0.727)","0.074(-0.242,0.395)","0.137(-0.2,0.479)","Brexpiprazole","-0.191(-0.763,0.368)","0.081(-0.269,0.43)","0.447(0.039,0.851)","0.116(-0.194,0.434)","-0.042(-0.362,0.285)","0.106(-0.269,0.475)","0.109(-0.258,0.47)","0.248(-0.059,0.561)","0.19(-0.129,0.513)","0.176(-0.198,0.549)","-0.353(-0.66,-0.043)","0.078(-0.241,0.401)","0.219(-0.091,0.535)","0.039(-0.327,0.403)","0.042(-0.276,0.372)","0.37(-0.111,1)","0.152(-0.282,0.61)"
"5","0.562(0.054,1.071)","0.265(-0.226,0.759)","0.328(-0.167,0.829)","0.191(-0.368,0.763)","Cariprazine","0.272(-0.239,0.784)","0.638(0.089,1.192)","0.308(-0.173,0.795)","0.149(-0.343,0.643)","0.297(-0.216,0.82)","0.3(-0.225,0.821)","0.439(-0.047,0.925)","0.381(-0.11,0.872)","0.368(-0.16,0.904)","-0.162(-0.643,0.322)","0.27(-0.217,0.765)","0.411(-0.073,0.897)","0.23(-0.295,0.748)","0.233(-0.261,0.732)","0.561(-0.049,1.275)","0.344(-0.223,0.921)"
"6","0.29(0.066,0.526)","-0.007(-0.18,0.179)","0.056(-0.152,0.274)","-0.081(-0.43,0.269)","-0.272(-0.784,0.239)","Chlorpromazine","0.366(0.052,0.654)","0.035(-0.126,0.21)","-0.123(-0.307,0.073)","0.025(-0.2,0.26)","0.028(-0.225,0.283)","0.167(0.006,0.34)","0.109(-0.069,0.301)","0.096(-0.155,0.348)","-0.434(-0.586,-0.266)","-0.002(-0.164,0.169)","0.139(-0.024,0.317)","-0.042(-0.294,0.215)","-0.039(-0.223,0.155)","0.289(-0.081,0.867)","0.072(-0.267,0.429)"
"7","-0.076(-0.376,0.248)","-0.373(-0.632,-0.075)","-0.31(-0.597,0.012)","-0.447(-0.851,-0.039)","-0.638(-1.192,-0.089)","-0.366(-0.654,-0.052)","Clozapine","-0.331(-0.578,-0.046)","-0.489(-0.757,-0.19)","-0.341(-0.654,0)","-0.338(-0.655,0.001)","-0.199(-0.453,0.089)","-0.257(-0.525,0.041)","-0.27(-0.592,0.08)","-0.8(-1.051,-0.512)","-0.368(-0.631,-0.071)","-0.227(-0.481,0.059)","-0.408(-0.728,-0.068)","-0.405(-0.673,-0.101)","-0.077(-0.494,0.537)","-0.294(-0.699,0.126)"
"8","0.255(0.084,0.422)","-0.042(-0.139,0.052)","0.021(-0.135,0.175)","-0.116(-0.434,0.194)","-0.308(-0.795,0.173)","-0.035(-0.21,0.126)","0.331(0.046,0.578)","Haloperidol","-0.158(-0.265,-0.056)","-0.011(-0.215,0.199)","-0.007(-0.208,0.188)","0.131(0.058,0.202)","0.074(-0.036,0.18)","0.06(-0.149,0.263)","-0.469(-0.532,-0.409)","-0.038(-0.134,0.056)","0.103(0.028,0.178)","-0.078(-0.278,0.122)","-0.074(-0.191,0.038)","0.254(-0.101,0.836)","0.036(-0.289,0.374)"
"9","0.413(0.219,0.605)","0.116(-0.011,0.243)","0.179(0.004,0.353)","0.042(-0.285,0.362)","-0.149(-0.643,0.343)","0.123(-0.073,0.307)","0.489(0.19,0.757)","0.158(0.056,0.265)","Iloperidone","0.148(-0.076,0.371)","0.151(-0.065,0.364)","0.29(0.178,0.4)","0.232(0.097,0.365)","0.219(-0.007,0.436)","-0.311(-0.411,-0.212)","0.121(-0.007,0.244)","0.262(0.152,0.372)","0.081(-0.136,0.293)","0.084(-0.054,0.219)","0.412(0.043,1.001)","0.195(-0.137,0.544)"
"10","0.265(0.006,0.527)","-0.032(-0.245,0.184)","0.031(-0.218,0.274)","-0.106(-0.475,0.269)","-0.297(-0.82,0.216)","-0.025(-0.26,0.2)","0.341(0,0.654)","0.011(-0.199,0.215)","-0.148(-0.371,0.076)","Loxapine","0.003(-0.274,0.28)","0.142(-0.065,0.347)","0.084(-0.136,0.303)","0.071(-0.219,0.351)","-0.459(-0.66,-0.258)","-0.027(-0.238,0.184)","0.114(-0.096,0.32)","-0.067(-0.351,0.208)","-0.064(-0.287,0.163)","0.264(-0.143,0.864)","0.047(-0.326,0.435)"
"11","0.262(0.01,0.515)","-0.035(-0.243,0.179)","0.028(-0.209,0.271)","-0.109(-0.47,0.258)","-0.3(-0.821,0.225)","-0.028(-0.283,0.225)","0.338(-0.001,0.655)","0.007(-0.188,0.208)","-0.151(-0.364,0.065)","-0.003(-0.28,0.274)","Lurasidone","0.139(-0.059,0.34)","0.081(-0.133,0.295)","0.067(-0.213,0.343)","-0.462(-0.654,-0.267)","-0.031(-0.233,0.178)","0.11(-0.09,0.314)","-0.071(-0.347,0.204)","-0.067(-0.282,0.154)","0.261(-0.143,0.864)","0.043(-0.327,0.422)"
