"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.294(-0.462,-0.127)","-0.263(-0.456,-0.061)","-0.363(-0.582,-0.143)","-0.299(-0.535,-0.071)","-0.286(-0.484,-0.094)","0.175(-0.042,0.399)","-0.251(-0.396,-0.102)","-0.402(-0.582,-0.224)","-0.285(-0.528,-0.042)","-0.272(-0.476,-0.068)","-0.114(-0.264,0.04)","-0.18(-0.356,-0.003)","-0.196(-0.418,0.023)","-0.825(-0.974,-0.674)","-0.291(-0.463,-0.125)","-0.145(-0.296,0.019)","-0.345(-0.538,-0.157)","-0.322(-0.506,-0.145)","-0.098(-0.345,0.147)","-0.217(-0.48,0.052)"
"2","0.294(0.127,0.462)","Aripiprazole","0.031(-0.132,0.205)","-0.069(-0.257,0.117)","-0.005(-0.214,0.189)","0.008(-0.15,0.167)","0.469(0.274,0.669)","0.043(-0.062,0.149)","-0.108(-0.252,0.032)","0.009(-0.206,0.224)","0.022(-0.151,0.197)","0.18(0.072,0.289)","0.114(-0.021,0.251)","0.098(-0.1,0.29)","-0.531(-0.632,-0.432)","0.003(-0.131,0.13)","0.149(0.035,0.276)","-0.051(-0.208,0.103)","-0.028(-0.177,0.109)","0.196(-0.022,0.414)","0.077(-0.169,0.326)"
"3","0.263(0.061,0.456)","-0.031(-0.205,0.132)","Asenapine","-0.101(-0.321,0.105)","-0.037(-0.282,0.174)","-0.024(-0.222,0.168)","0.438(0.213,0.658)","0.011(-0.147,0.157)","-0.139(-0.33,0.031)","-0.022(-0.272,0.217)","-0.009(-0.216,0.189)","0.149(-0.005,0.296)","0.083(-0.092,0.249)","0.067(-0.157,0.285)","-0.562(-0.714,-0.422)","-0.028(-0.213,0.134)","0.118(-0.039,0.275)","-0.082(-0.286,0.102)","-0.059(-0.26,0.11)","0.165(-0.079,0.404)","0.046(-0.231,0.31)"
"4","0.363(0.143,0.582)","0.069(-0.117,0.257)","0.101(-0.105,0.321)","Brexpiprazole","0.064(-0.187,0.29)","0.077(-0.136,0.287)","0.539(0.301,0.78)","0.112(-0.064,0.285)","-0.038(-0.244,0.153)","0.079(-0.184,0.329)","0.091(-0.126,0.308)","0.249(0.076,0.432)","0.184(-0.009,0.38)","0.167(-0.076,0.403)","-0.461(-0.635,-0.291)","0.073(-0.12,0.251)","0.219(0.042,0.408)","0.018(-0.195,0.223)","0.041(-0.173,0.233)","0.266(0.004,0.525)","0.146(-0.141,0.432)"
"5","0.299(0.071,0.535)","0.005(-0.189,0.214)","0.037(-0.174,0.282)","-0.064(-0.29,0.187)","Cariprazine","0.013(-0.207,0.234)","0.475(0.226,0.732)","0.048(-0.136,0.249)","-0.102(-0.309,0.11)","0.015(-0.24,0.272)","0.027(-0.199,0.268)","0.185(-0.002,0.396)","0.119(-0.08,0.342)","0.103(-0.141,0.355)","-0.525(-0.709,-0.326)","0.008(-0.194,0.209)","0.154(-0.029,0.375)","-0.046(-0.266,0.175)","-0.023(-0.232,0.188)","0.202(-0.068,0.473)","0.082(-0.211,0.381)"
"6","0.286(0.094,0.484)","-0.008(-0.167,0.15)","0.024(-0.168,0.222)","-0.077(-0.287,0.136)","-0.013(-0.234,0.207)","Chlorpromazine","0.462(0.263,0.661)","0.035(-0.103,0.174)","-0.115(-0.284,0.053)","0.002(-0.204,0.208)","0.014(-0.177,0.214)","0.172(0.023,0.321)","0.106(-0.061,0.274)","0.09(-0.125,0.303)","-0.538(-0.673,-0.405)","-0.005(-0.157,0.139)","0.142(-0.006,0.298)","-0.059(-0.242,0.122)","-0.036(-0.208,0.132)","0.189(-0.035,0.415)","0.069(-0.181,0.32)"
"7","-0.175(-0.399,0.042)","-0.469(-0.669,-0.274)","-0.438(-0.658,-0.213)","-0.539(-0.78,-0.301)","-0.475(-0.732,-0.226)","-0.462(-0.661,-0.263)","Clozapine","-0.427(-0.6,-0.254)","-0.577(-0.786,-0.374)","-0.46(-0.719,-0.203)","-0.448(-0.679,-0.22)","-0.29(-0.472,-0.109)","-0.355(-0.557,-0.153)","-0.372(-0.619,-0.131)","-1(-1.178,-0.823)","-0.466(-0.666,-0.271)","-0.32(-0.502,-0.131)","-0.521(-0.738,-0.31)","-0.497(-0.704,-0.295)","-0.273(-0.521,-0.024)","-0.393(-0.668,-0.111)"
"8","0.251(0.102,0.396)","-0.043(-0.149,0.062)","-0.011(-0.157,0.147)","-0.112(-0.285,0.064)","-0.048(-0.249,0.136)","-0.035(-0.174,0.103)","0.427(0.254,0.6)","Haloperidol","-0.15(-0.275,-0.039)","-0.033(-0.232,0.17)","-0.021(-0.183,0.142)","0.137(0.055,0.222)","0.071(-0.047,0.191)","0.055(-0.13,0.234)","-0.573(-0.643,-0.504)","-0.04(-0.15,0.06)","0.106(0.018,0.213)","-0.094(-0.226,0.035)","-0.071(-0.205,0.045)","0.154(-0.048,0.357)","0.034(-0.197,0.266)"
"9","0.402(0.224,0.582)","0.108(-0.032,0.252)","0.139(-0.031,0.33)","0.038(-0.153,0.244)","0.102(-0.11,0.309)","0.115(-0.053,0.284)","0.577(0.374,0.786)","0.15(0.039,0.275)","Iloperidone","0.117(-0.106,0.348)","0.13(-0.048,0.316)","0.288(0.161,0.425)","0.222(0.072,0.382)","0.206(0.003,0.411)","-0.423(-0.537,-0.303)","0.111(-0.031,0.249)","0.257(0.131,0.407)","0.057(-0.108,0.223)","0.08(-0.07,0.226)","0.304(0.078,0.533)","0.185(-0.066,0.44)"
"10","0.285(0.042,0.528)","-0.009(-0.224,0.206)","0.022(-0.217,0.272)","-0.079(-0.329,0.184)","-0.015(-0.272,0.24)","-0.002(-0.208,0.204)","0.46(0.203,0.719)","0.033(-0.17,0.232)","-0.117(-0.348,0.106)","Loxapine","0.013(-0.231,0.261)","0.171(-0.039,0.381)","0.105(-0.117,0.329)","0.089(-0.174,0.35)","-0.54(-0.742,-0.343)","-0.006(-0.219,0.204)","0.14(-0.074,0.353)","-0.06(-0.296,0.174)","-0.037(-0.268,0.185)","0.187(-0.089,0.463)","0.068(-0.243,0.365)"
