"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.304(-0.473,-0.151)","-0.329(-0.501,-0.111)","-0.463(-0.649,-0.284)","-0.346(-0.504,-0.17)","-0.261(-0.46,-0.044)","0.195(-0.048,0.456)","-0.263(-0.422,-0.077)","-0.39(-0.546,-0.196)","-0.284(-0.56,-0.062)","-0.345(-0.517,-0.157)","-0.157(-0.306,-0.012)","-0.219(-0.387,-0.004)","-0.178(-0.392,0.046)","-0.71(-0.872,-0.562)","-0.303(-0.489,-0.109)","-0.161(-0.321,0.004)","-0.33(-0.519,-0.129)","-0.309(-0.496,-0.122)","-0.025(-0.269,0.239)","-0.197(-0.457,0.085)"
"2","0.304(0.151,0.473)","Aripiprazole","-0.025(-0.184,0.167)","-0.159(-0.336,0.022)","-0.042(-0.173,0.1)","0.043(-0.132,0.258)","0.5(0.277,0.711)","0.041(-0.066,0.141)","-0.086(-0.215,0.027)","0.02(-0.202,0.202)","-0.041(-0.163,0.092)","0.148(0.053,0.236)","0.085(-0.095,0.223)","0.126(-0.075,0.304)","-0.406(-0.489,-0.297)","0.001(-0.117,0.131)","0.143(0.039,0.257)","-0.026(-0.161,0.111)","-0.005(-0.144,0.123)","0.279(0.028,0.483)","0.107(-0.062,0.314)"
"3","0.329(0.111,0.501)","0.025(-0.167,0.184)","Asenapine","-0.134(-0.35,0.051)","-0.017(-0.167,0.178)","0.068(-0.14,0.256)","0.524(0.289,0.762)","0.066(-0.094,0.169)","-0.061(-0.235,0.093)","0.045(-0.184,0.292)","-0.016(-0.198,0.153)","0.172(-0.004,0.29)","0.11(-0.059,0.289)","0.151(-0.053,0.348)","-0.381(-0.533,-0.266)","0.026(-0.155,0.175)","0.168(0.001,0.308)","-0.001(-0.222,0.198)","0.02(-0.118,0.142)","0.304(0.027,0.499)","0.132(-0.072,0.331)"
"4","0.463(0.284,0.649)","0.159(-0.022,0.336)","0.134(-0.051,0.35)","Brexpiprazole","0.117(-0.063,0.329)","0.202(-0.043,0.427)","0.659(0.434,0.898)","0.2(0.053,0.373)","0.073(-0.095,0.27)","0.179(-0.056,0.398)","0.118(-0.057,0.31)","0.307(0.178,0.474)","0.244(0.053,0.443)","0.285(0.019,0.552)","-0.247(-0.394,-0.076)","0.16(0.014,0.323)","0.302(0.156,0.448)","0.133(-0.059,0.336)","0.154(-0.023,0.316)","0.438(0.166,0.726)","0.266(0.04,0.519)"
"5","0.346(0.17,0.504)","0.042(-0.1,0.173)","0.017(-0.178,0.167)","-0.117(-0.329,0.063)","Cariprazine","0.085(-0.113,0.287)","0.541(0.297,0.809)","0.083(-0.045,0.215)","-0.044(-0.206,0.111)","0.062(-0.191,0.281)","0.001(-0.171,0.152)","0.189(0.052,0.316)","0.127(-0.067,0.287)","0.168(-0.007,0.35)","-0.364(-0.477,-0.239)","0.043(-0.117,0.202)","0.185(0.061,0.319)","0.016(-0.168,0.19)","0.037(-0.114,0.191)","0.321(0.097,0.528)","0.149(-0.064,0.399)"
"6","0.261(0.044,0.46)","-0.043(-0.258,0.132)","-0.068(-0.256,0.14)","-0.202(-0.427,0.043)","-0.085(-0.287,0.113)","Chlorpromazine","0.456(0.21,0.723)","-0.002(-0.162,0.148)","-0.129(-0.353,0.069)","-0.023(-0.236,0.157)","-0.085(-0.31,0.124)","0.104(-0.059,0.277)","0.042(-0.116,0.212)","0.083(-0.171,0.294)","-0.449(-0.601,-0.291)","-0.042(-0.174,0.141)","0.1(-0.064,0.28)","-0.069(-0.293,0.128)","-0.048(-0.215,0.121)","0.236(0.028,0.451)","0.064(-0.179,0.277)"
"7","-0.195(-0.456,0.048)","-0.5(-0.711,-0.277)","-0.524(-0.762,-0.289)","-0.659(-0.898,-0.434)","-0.541(-0.809,-0.297)","-0.456(-0.723,-0.21)","Clozapine","-0.458(-0.675,-0.27)","-0.585(-0.818,-0.363)","-0.479(-0.798,-0.208)","-0.541(-0.817,-0.331)","-0.352(-0.543,-0.153)","-0.415(-0.654,-0.211)","-0.374(-0.681,-0.098)","-0.905(-1.102,-0.704)","-0.499(-0.713,-0.308)","-0.356(-0.555,-0.165)","-0.525(-0.78,-0.301)","-0.504(-0.762,-0.293)","-0.22(-0.463,0.004)","-0.393(-0.683,-0.113)"
"8","0.263(0.077,0.422)","-0.041(-0.141,0.066)","-0.066(-0.169,0.094)","-0.2(-0.373,-0.053)","-0.083(-0.215,0.045)","0.002(-0.148,0.162)","0.458(0.27,0.675)","Haloperidol","-0.127(-0.236,-0.051)","-0.021(-0.229,0.159)","-0.083(-0.229,0.054)","0.106(0.043,0.182)","0.044(-0.069,0.157)","0.085(-0.116,0.234)","-0.447(-0.504,-0.382)","-0.04(-0.135,0.082)","0.102(0.034,0.189)","-0.067(-0.197,0.057)","-0.046(-0.145,0.054)","0.238(0.04,0.423)","0.066(-0.143,0.265)"
"9","0.39(0.196,0.546)","0.086(-0.027,0.215)","0.061(-0.093,0.235)","-0.073(-0.27,0.095)","0.044(-0.111,0.206)","0.129(-0.069,0.353)","0.585(0.363,0.818)","0.127(0.051,0.236)","Iloperidone","0.106(-0.104,0.334)","0.045(-0.092,0.174)","0.233(0.131,0.339)","0.171(0.025,0.321)","0.212(-0.024,0.417)","-0.32(-0.418,-0.214)","0.087(-0.049,0.223)","0.229(0.135,0.336)","0.06(-0.11,0.222)","0.081(-0.05,0.21)","0.365(0.142,0.556)","0.193(-0.074,0.421)"
"10","0.284(0.062,0.56)","-0.02(-0.202,0.202)","-0.045(-0.292,0.184)","-0.179(-0.398,0.056)","-0.062(-0.281,0.191)","0.023(-0.157,0.236)","0.479(0.208,0.798)","0.021(-0.159,0.229)","-0.106(-0.334,0.104)","Loxapine","-0.062(-0.274,0.134)","0.127(-0.047,0.319)","0.065(-0.167,0.288)","0.106(-0.152,0.357)","-0.426(-0.602,-0.241)","-0.019(-0.23,0.178)","0.123(-0.059,0.344)","-0.046(-0.273,0.184)","-0.025(-0.236,0.225)","0.259(0.018,0.543)","0.087(-0.168,0.355)"
