"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.273(-0.452,-0.112)","-0.311(-0.503,-0.155)","-0.45(-0.685,-0.279)","-0.363(-0.584,-0.146)","-0.195(-0.434,0.05)","0.207(-0.044,0.435)","-0.202(-0.414,-0.056)","-0.387(-0.595,-0.217)","-0.349(-0.658,-0.041)","-0.338(-0.511,-0.125)","-0.124(-0.302,0.049)","-0.216(-0.38,-0.043)","-0.143(-0.348,0.087)","-0.672(-0.859,-0.511)","-0.275(-0.444,-0.125)","-0.131(-0.327,0.036)","-0.317(-0.513,-0.106)","-0.287(-0.472,-0.129)","-0.069(-0.365,0.22)","-0.25(-0.578,0.08)"
"2","0.273(0.112,0.452)","Aripiprazole","-0.038(-0.182,0.096)","-0.177(-0.32,-0.039)","-0.09(-0.259,0.06)","0.078(-0.074,0.246)","0.481(0.281,0.689)","0.071(-0.051,0.179)","-0.114(-0.263,0.009)","-0.076(-0.328,0.165)","-0.064(-0.211,0.069)","0.15(0.066,0.235)","0.057(-0.062,0.163)","0.13(-0.064,0.324)","-0.399(-0.499,-0.29)","-0.002(-0.107,0.103)","0.142(0.035,0.248)","-0.044(-0.196,0.108)","-0.014(-0.133,0.099)","0.204(0.001,0.453)","0.023(-0.287,0.395)"
"3","0.311(0.155,0.503)","0.038(-0.096,0.182)","Asenapine","-0.139(-0.287,0.013)","-0.052(-0.182,0.109)","0.116(-0.056,0.294)","0.518(0.285,0.699)","0.109(-0.032,0.236)","-0.076(-0.222,0.048)","-0.038(-0.329,0.273)","-0.027(-0.202,0.132)","0.188(0.063,0.294)","0.095(-0.057,0.202)","0.168(-0.068,0.379)","-0.361(-0.494,-0.243)","0.036(-0.105,0.146)","0.18(0.043,0.31)","-0.006(-0.172,0.129)","0.024(-0.12,0.148)","0.242(-0.016,0.519)","0.061(-0.265,0.418)"
"4","0.45(0.279,0.685)","0.177(0.039,0.32)","0.139(-0.013,0.287)","Brexpiprazole","0.087(-0.077,0.268)","0.255(0.085,0.447)","0.658(0.452,0.87)","0.249(0.086,0.392)","0.064(-0.097,0.194)","0.102(-0.154,0.39)","0.113(-0.059,0.276)","0.327(0.165,0.456)","0.234(0.097,0.366)","0.308(0.068,0.57)","-0.221(-0.364,-0.094)","0.175(0.041,0.318)","0.32(0.162,0.439)","0.133(-0.036,0.313)","0.163(0.048,0.307)","0.381(0.096,0.654)","0.201(-0.096,0.562)"
"5","0.363(0.146,0.584)","0.09(-0.06,0.259)","0.052(-0.109,0.182)","-0.087(-0.268,0.077)","Cariprazine","0.168(-0.026,0.374)","0.57(0.362,0.81)","0.161(0.024,0.32)","-0.024(-0.202,0.13)","0.014(-0.279,0.368)","0.025(-0.135,0.175)","0.239(0.102,0.394)","0.147(0.025,0.288)","0.22(-0.01,0.426)","-0.309(-0.433,-0.171)","0.088(-0.041,0.231)","0.232(0.069,0.369)","0.046(-0.125,0.232)","0.076(-0.079,0.204)","0.294(0.06,0.572)","0.113(-0.171,0.47)"
"6","0.195(-0.05,0.434)","-0.078(-0.246,0.074)","-0.116(-0.294,0.056)","-0.255(-0.447,-0.085)","-0.168(-0.374,0.026)","Chlorpromazine","0.402(0.183,0.616)","-0.007(-0.173,0.141)","-0.192(-0.389,-0.045)","-0.154(-0.432,0.127)","-0.143(-0.318,0.028)","0.072(-0.071,0.201)","-0.021(-0.184,0.156)","0.052(-0.176,0.286)","-0.477(-0.63,-0.339)","-0.08(-0.257,0.052)","0.064(-0.108,0.216)","-0.122(-0.334,0.076)","-0.092(-0.276,0.063)","0.126(-0.142,0.375)","-0.055(-0.361,0.251)"
"7","-0.207(-0.435,0.044)","-0.481(-0.689,-0.281)","-0.518(-0.699,-0.285)","-0.658(-0.87,-0.452)","-0.57(-0.81,-0.362)","-0.402(-0.616,-0.183)","Clozapine","-0.409(-0.578,-0.225)","-0.594(-0.774,-0.411)","-0.556(-0.855,-0.281)","-0.545(-0.724,-0.328)","-0.331(-0.509,-0.142)","-0.423(-0.613,-0.237)","-0.35(-0.583,-0.09)","-0.879(-1.053,-0.676)","-0.483(-0.637,-0.29)","-0.338(-0.498,-0.129)","-0.525(-0.699,-0.276)","-0.495(-0.693,-0.305)","-0.277(-0.547,-0.044)","-0.457(-0.834,-0.074)"
"8","0.202(0.056,0.414)","-0.071(-0.179,0.051)","-0.109(-0.236,0.032)","-0.249(-0.392,-0.086)","-0.161(-0.32,-0.024)","0.007(-0.141,0.173)","0.409(0.225,0.578)","Haloperidol","-0.185(-0.316,-0.063)","-0.147(-0.396,0.135)","-0.136(-0.278,-0.001)","0.078(-0.006,0.137)","-0.014(-0.123,0.104)","0.059(-0.115,0.225)","-0.47(-0.534,-0.419)","-0.074(-0.156,0.028)","0.071(-0.014,0.144)","-0.116(-0.225,0.02)","-0.086(-0.203,0.019)","0.132(-0.082,0.359)","-0.048(-0.335,0.254)"
"9","0.387(0.217,0.595)","0.114(-0.009,0.263)","0.076(-0.048,0.222)","-0.064(-0.194,0.097)","0.024(-0.13,0.202)","0.192(0.045,0.389)","0.594(0.411,0.774)","0.185(0.063,0.316)","Iloperidone","0.038(-0.203,0.314)","0.049(-0.12,0.196)","0.263(0.139,0.367)","0.171(0.036,0.293)","0.244(0.046,0.413)","-0.285(-0.381,-0.177)","0.111(-0.01,0.26)","0.256(0.167,0.342)","0.07(-0.085,0.208)","0.1(-0.041,0.207)","0.318(0.057,0.556)","0.137(-0.139,0.445)"
"10","0.349(0.041,0.658)","0.076(-0.165,0.328)","0.038(-0.273,0.329)","-0.102(-0.39,0.154)","-0.014(-0.368,0.279)","0.154(-0.127,0.432)","0.556(0.281,0.855)","0.147(-0.135,0.396)","-0.038(-0.314,0.203)","Loxapine","0.011(-0.29,0.257)","0.225(-0.048,0.463)","0.133(-0.153,0.362)","0.206(-0.128,0.482)","-0.323(-0.598,-0.077)","0.073(-0.186,0.306)","0.218(-0.052,0.462)","0.032(-0.252,0.281)","0.062(-0.254,0.303)","0.28(-0.033,0.606)","0.099(-0.297,0.465)"
"11","0.338(0.125,0.511)","0.064(-0.069,0.211)","0.027(-0.132,0.202)","-0.113(-0.276,0.059)","-0.025(-0.175,0.135)","0.143(-0.028,0.318)","0.545(0.328,0.724)","0.136(0.001,0.278)","-0.049(-0.196,0.12)","-0.011(-0.257,0.29)","Lurasidone","0.214(0.078,0.345)","0.122(-0.01,0.264)","0.195(-0.027,0.417)","-0.334(-0.458,-0.2)","0.062(-0.071,0.195)","0.207(0.074,0.341)","0.02(-0.128,0.175)","0.05(-0.071,0.215)","0.268(0.032,0.529)","0.088(-0.243,0.438)"
"12","0.124(-0.049,0.302)","-0.15(-0.235,-0.066)","-0.188(-0.294,-0.063)","-0.327(-0.456,-0.165)","-0.239(-0.394,-0.102)","-0.072(-0.201,0.071)","0.331(0.142,0.509)","-0.078(-0.137,0.006)","-0.263(-0.367,-0.139)","-0.225(-0.463,0.048)","-0.214(-0.345,-0.078)","Olanzapine","-0.093(-0.178,0.007)","-0.019(-0.212,0.166)","-0.548(-0.603,-0.49)","-0.152(-0.242,-0.071)","-0.007(-0.093,0.074)","-0.194(-0.319,-0.075)","-0.164(-0.27,-0.068)","0.054(-0.136,0.274)","-0.126(-0.418,0.181)"
"13","0.216(0.043,0.38)","-0.057(-0.163,0.062)","-0.095(-0.202,0.057)","-0.234(-0.366,-0.097)","-0.147(-0.288,-0.025)","0.021(-0.156,0.184)","0.423(0.237,0.613)","0.014(-0.104,0.123)","-0.171(-0.293,-0.036)","-0.133(-0.362,0.153)","-0.122(-0.264,0.01)","0.093(-0.007,0.178)","Paliperidone","0.073(-0.133,0.317)","-0.456(-0.56,-0.351)","-0.059(-0.161,0.042)","0.085(-0.015,0.19)","-0.101(-0.251,0.055)","-0.071(-0.19,0.048)","0.147(-0.074,0.392)","-0.034(-0.355,0.296)"
"14","0.143(-0.087,0.348)","-0.13(-0.324,0.064)","-0.168(-0.379,0.068)","-0.308(-0.57,-0.068)","-0.22(-0.426,0.01)","-0.052(-0.286,0.176)","0.35(0.09,0.583)","-0.059(-0.225,0.115)","-0.244(-0.413,-0.046)","-0.206(-0.482,0.128)","-0.195(-0.417,0.027)","0.019(-0.166,0.212)","-0.073(-0.317,0.133)","Perphenazine","-0.529(-0.69,-0.354)","-0.133(-0.313,0.047)","0.012(-0.14,0.18)","-0.175(-0.385,0.04)","-0.145(-0.323,0.038)","0.073(-0.22,0.347)","-0.107(-0.409,0.262)"
"15","0.672(0.511,0.859)","0.399(0.29,0.499)","0.361(0.243,0.494)","0.221(0.094,0.364)","0.309(0.171,0.433)","0.477(0.339,0.63)","0.879(0.676,1.053)","0.47(0.419,0.534)","0.285(0.177,0.381)","0.323(0.077,0.598)","0.334(0.2,0.458)","0.548(0.49,0.603)","0.456(0.351,0.56)","0.529(0.354,0.69)","Placebo","0.396(0.32,0.482)","0.541(0.482,0.61)","0.355(0.243,0.482)","0.384(0.278,0.48)","0.603(0.382,0.839)","0.422(0.145,0.739)"
"16","0.275(0.125,0.444)","0.002(-0.103,0.107)","-0.036(-0.146,0.105)","-0.175(-0.318,-0.041)","-0.088(-0.231,0.041)","0.08(-0.052,0.257)","0.483(0.29,0.637)","0.074(-0.028,0.156)","-0.111(-0.26,0.01)","-0.073(-0.306,0.186)","-0.062(-0.195,0.071)","0.152(0.071,0.242)","0.059(-0.042,0.161)","0.133(-0.047,0.313)","-0.396(-0.482,-0.32)","Quetiapine","0.145(0.056,0.224)","-0.042(-0.19,0.087)","-0.012(-0.118,0.078)","0.206(-0.026,0.417)","0.026(-0.266,0.366)"
"17","0.131(-0.036,0.327)","-0.142(-0.248,-0.035)","-0.18(-0.31,-0.043)","-0.32(-0.439,-0.162)","-0.232(-0.369,-0.069)","-0.064(-0.216,0.108)","0.338(0.129,0.498)","-0.071(-0.144,0.014)","-0.256(-0.342,-0.167)","-0.218(-0.462,0.052)","-0.207(-0.341,-0.074)","0.007(-0.074,0.093)","-0.085(-0.19,0.015)","-0.012(-0.18,0.14)","-0.541(-0.61,-0.482)","-0.145(-0.224,-0.056)","Risperidone","-0.186(-0.31,-0.082)","-0.157(-0.268,-0.064)","0.062(-0.163,0.3)","-0.119(-0.39,0.184)"
"18","0.317(0.106,0.513)","0.044(-0.108,0.196)","0.006(-0.129,0.172)","-0.133(-0.313,0.036)","-0.046(-0.232,0.125)","0.122(-0.076,0.334)","0.525(0.276,0.699)","0.116(-0.02,0.225)","-0.07(-0.208,0.085)","-0.032(-0.281,0.252)","-0.02(-0.175,0.128)","0.194(0.075,0.319)","0.101(-0.055,0.251)","0.175(-0.04,0.385)","-0.355(-0.482,-0.243)","0.042(-0.087,0.19)","0.186(0.082,0.31)","Sertindole","0.03(-0.122,0.196)","0.248(0.005,0.494)","0.067(-0.229,0.421)"
"19","0.287(0.129,0.472)","0.014(-0.099,0.133)","-0.024(-0.148,0.12)","-0.163(-0.307,-0.048)","-0.076(-0.204,0.079)","0.092(-0.063,0.276)","0.495(0.305,0.693)","0.086(-0.019,0.203)","-0.1(-0.207,0.041)","-0.062(-0.303,0.254)","-0.05(-0.215,0.071)","0.164(0.068,0.27)","0.071(-0.048,0.19)","0.145(-0.038,0.323)","-0.384(-0.48,-0.278)","0.012(-0.078,0.118)","0.157(0.064,0.268)","-0.03(-0.196,0.122)","Ziprasidone","0.218(-0.017,0.466)","0.038(-0.232,0.349)"
"20","0.069(-0.22,0.365)","-0.204(-0.453,-0.001)","-0.242(-0.519,0.016)","-0.381(-0.654,-0.096)","-0.294(-0.572,-0.06)","-0.126(-0.375,0.142)","0.277(0.044,0.547)","-0.132(-0.359,0.082)","-0.318(-0.556,-0.057)","-0.28(-0.606,0.033)","-0.268(-0.529,-0.032)","-0.054(-0.274,0.136)","-0.147(-0.392,0.074)","-0.073(-0.347,0.22)","-0.603(-0.839,-0.382)","-0.206(-0.417,0.026)","-0.062(-0.3,0.163)","-0.248(-0.494,-0.005)","-0.218(-0.466,0.017)","Zotepine","-0.181(-0.571,0.191)"
"21","0.25(-0.08,0.578)","-0.023(-0.395,0.287)","-0.061(-0.418,0.265)","-0.201(-0.562,0.096)","-0.113(-0.47,0.171)","0.055(-0.251,0.361)","0.457(0.074,0.834)","0.048(-0.254,0.335)","-0.137(-0.445,0.139)","-0.099(-0.465,0.297)","-0.088(-0.438,0.243)","0.126(-0.181,0.418)","0.034(-0.296,0.355)","0.107(-0.262,0.409)","-0.422(-0.739,-0.145)","-0.026(-0.366,0.266)","0.119(-0.184,0.39)","-0.067(-0.421,0.229)","-0.038(-0.349,0.232)","0.181(-0.191,0.571)","Zuclopenthixol"
