"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.278(-0.659,0.113)","-0.328(-0.706,0.061)","-0.434(-0.865,0.008)","-0.351(-0.86,0.135)","-0.179(-0.569,0.216)","0.157(-0.221,0.606)","-0.297(-0.632,0.088)","-0.462(-0.884,-0.06)","-0.157(-0.529,0.257)","-0.384(-0.768,0.058)","-0.181(-0.51,0.207)","-0.218(-0.594,0.174)","-0.158(-0.564,0.26)","-0.692(-1.039,-0.297)","-0.332(-0.714,0.06)","-0.221(-0.591,0.168)","-0.433(-0.851,0.108)","-0.343(-0.734,0.114)","0.954(0.099,1.928)","-0.111(-0.551,0.397)"
"2","0.278(-0.113,0.659)","Aripiprazole","-0.05(-0.236,0.114)","-0.156(-0.325,0.059)","-0.073(-0.335,0.185)","0.099(-0.113,0.291)","0.435(0.24,0.702)","-0.018(-0.141,0.124)","-0.184(-0.387,0.015)","0.122(-0.185,0.434)","-0.105(-0.294,0.088)","0.097(-0.017,0.223)","0.06(-0.118,0.252)","0.12(-0.128,0.321)","-0.413(-0.52,-0.285)","-0.054(-0.212,0.118)","0.057(-0.08,0.214)","-0.155(-0.405,0.141)","-0.065(-0.208,0.117)","1.232(0.507,1.845)","0.167(-0.197,0.523)"
"3","0.328(-0.061,0.706)","0.05(-0.114,0.236)","Asenapine","-0.107(-0.29,0.085)","-0.023(-0.299,0.249)","0.149(-0.111,0.379)","0.485(0.22,0.792)","0.031(-0.101,0.161)","-0.134(-0.383,0.065)","0.171(-0.139,0.504)","-0.056(-0.297,0.152)","0.147(0.036,0.264)","0.11(-0.077,0.273)","0.17(-0.017,0.408)","-0.364(-0.479,-0.234)","-0.004(-0.14,0.158)","0.106(-0.022,0.231)","-0.105(-0.435,0.212)","-0.015(-0.216,0.169)","1.282(0.541,1.862)","0.217(-0.192,0.596)"
"4","0.434(-0.008,0.865)","0.156(-0.059,0.325)","0.107(-0.085,0.29)","Brexpiprazole","0.083(-0.259,0.372)","0.255(-0.019,0.46)","0.592(0.343,0.871)","0.138(-0.035,0.317)","-0.028(-0.238,0.197)","0.278(-0.058,0.589)","0.051(-0.204,0.277)","0.254(0.105,0.422)","0.217(0.02,0.44)","0.276(0.045,0.545)","-0.257(-0.415,-0.111)","0.103(-0.085,0.265)","0.213(0.051,0.371)","0.002(-0.362,0.303)","0.091(-0.084,0.308)","1.389(0.683,1.996)","0.323(-0.036,0.693)"
"5","0.351(-0.135,0.86)","0.073(-0.185,0.335)","0.023(-0.249,0.299)","-0.083(-0.372,0.259)","Cariprazine","0.172(-0.199,0.503)","0.508(0.2,0.8)","0.055(-0.228,0.305)","-0.111(-0.459,0.231)","0.195(-0.281,0.549)","-0.032(-0.302,0.225)","0.17(-0.079,0.422)","0.133(-0.136,0.403)","0.193(-0.135,0.485)","-0.34(-0.587,-0.073)","0.019(-0.236,0.266)","0.13(-0.143,0.396)","-0.082(-0.462,0.274)","0.008(-0.249,0.27)","1.305(0.599,1.861)","0.24(-0.206,0.77)"
"6","0.179(-0.216,0.569)","-0.099(-0.291,0.113)","-0.149(-0.379,0.111)","-0.255(-0.46,0.019)","-0.172(-0.503,0.199)","Chlorpromazine","0.336(0.099,0.615)","-0.117(-0.315,0.122)","-0.283(-0.522,-0.004)","0.023(-0.325,0.435)","-0.204(-0.476,0.052)","-0.002(-0.179,0.254)","-0.039(-0.275,0.23)","0.021(-0.269,0.296)","-0.512(-0.682,-0.305)","-0.153(-0.351,0.071)","-0.042(-0.262,0.177)","-0.253(-0.566,0.138)","-0.164(-0.354,0.06)","1.133(0.4,1.818)","0.068(-0.352,0.468)"
"7","-0.157(-0.606,0.221)","-0.435(-0.702,-0.24)","-0.485(-0.792,-0.22)","-0.592(-0.871,-0.343)","-0.508(-0.8,-0.2)","-0.336(-0.615,-0.099)","Clozapine","-0.454(-0.695,-0.265)","-0.619(-0.937,-0.313)","-0.314(-0.668,-0.039)","-0.541(-0.796,-0.291)","-0.338(-0.592,-0.123)","-0.375(-0.635,-0.122)","-0.315(-0.591,-0.026)","-0.849(-1.113,-0.646)","-0.489(-0.732,-0.265)","-0.378(-0.637,-0.175)","-0.59(-0.971,-0.246)","-0.5(-0.752,-0.268)","0.797(0.047,1.445)","-0.268(-0.759,0.106)"
"8","0.297(-0.088,0.632)","0.018(-0.124,0.141)","-0.031(-0.161,0.101)","-0.138(-0.317,0.035)","-0.055(-0.305,0.228)","0.117(-0.122,0.315)","0.454(0.265,0.695)","Haloperidol","-0.166(-0.353,0.019)","0.14(-0.146,0.451)","-0.087(-0.258,0.109)","0.116(0.034,0.188)","0.079(-0.061,0.223)","0.138(-0.09,0.376)","-0.395(-0.461,-0.322)","-0.035(-0.163,0.076)","0.075(0.001,0.146)","-0.136(-0.444,0.152)","-0.047(-0.198,0.101)","1.251(0.518,1.849)","0.185(-0.146,0.561)"
"9","0.462(0.06,0.884)","0.184(-0.015,0.387)","0.134(-0.065,0.383)","0.028(-0.197,0.238)","0.111(-0.231,0.459)","0.283(0.004,0.522)","0.619(0.313,0.937)","0.166(-0.019,0.353)","Iloperidone","0.306(-0.071,0.705)","0.079(-0.221,0.319)","0.281(0.099,0.472)","0.244(0.018,0.529)","0.304(0.069,0.613)","-0.229(-0.394,-0.059)","0.13(-0.038,0.339)","0.241(0.063,0.436)","0.029(-0.348,0.305)","0.119(-0.062,0.284)","1.416(0.694,2.047)","0.351(-0.035,0.764)"
"10","0.157(-0.257,0.529)","-0.122(-0.434,0.185)","-0.171(-0.504,0.139)","-0.278(-0.589,0.058)","-0.195(-0.549,0.281)","-0.023(-0.435,0.325)","0.314(0.039,0.668)","-0.14(-0.451,0.146)","-0.306(-0.705,0.071)","Loxapine","-0.227(-0.565,0.139)","-0.024(-0.326,0.262)","-0.061(-0.425,0.24)","-0.002(-0.388,0.309)","-0.535(-0.836,-0.256)","-0.175(-0.468,0.091)","-0.065(-0.343,0.209)","-0.276(-0.661,0.235)","-0.187(-0.522,0.144)","1.111(0.245,2.072)","0.045(-0.468,0.503)"
