"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.278(-0.493,-0.099)","-0.172(-0.47,0.045)","-0.307(-0.703,0.002)","-0.345(-0.683,-0.035)","-0.318(-0.607,-0.056)","0.138(-0.167,0.428)","-0.24(-0.431,-0.061)","-0.412(-0.67,-0.18)","-0.438(-0.764,-0.154)","-0.372(-0.628,-0.142)","-0.162(-0.339,-0.006)","-0.188(-0.439,0.025)","-0.106(-0.566,0.258)","-0.705(-0.887,-0.543)","-0.3(-0.534,-0.089)","-0.103(-0.276,0.07)","-0.258(-0.521,-0.025)","-0.279(-0.528,-0.072)","-0.166(-0.524,0.196)","-0.126(-0.6,0.285)"
"2","0.278(0.099,0.493)","Aripiprazole","0.106(-0.105,0.283)","-0.029(-0.364,0.311)","-0.067(-0.313,0.193)","-0.04(-0.234,0.16)","0.416(0.181,0.635)","0.038(-0.056,0.122)","-0.134(-0.306,0.058)","-0.16(-0.459,0.111)","-0.094(-0.275,0.078)","0.116(0.021,0.2)","0.09(-0.089,0.237)","0.172(-0.223,0.509)","-0.427(-0.525,-0.352)","-0.022(-0.144,0.112)","0.175(0.063,0.288)","0.02(-0.156,0.208)","-0.001(-0.138,0.148)","0.112(-0.248,0.416)","0.152(-0.181,0.525)"
"3","0.172(-0.045,0.47)","-0.106(-0.283,0.105)","Asenapine","-0.135(-0.48,0.208)","-0.173(-0.513,0.183)","-0.146(-0.409,0.09)","0.31(0.063,0.56)","-0.068(-0.254,0.131)","-0.24(-0.446,-0.015)","-0.267(-0.567,0.065)","-0.2(-0.424,0.038)","0.01(-0.174,0.206)","-0.016(-0.28,0.188)","0.066(-0.267,0.484)","-0.533(-0.716,-0.356)","-0.128(-0.343,0.048)","0.069(-0.135,0.244)","-0.086(-0.309,0.177)","-0.107(-0.34,0.104)","0.006(-0.323,0.345)","0.046(-0.281,0.505)"
"4","0.307(-0.002,0.703)","0.029(-0.311,0.364)","0.135(-0.208,0.48)","Brexpiprazole","-0.038(-0.389,0.339)","-0.011(-0.321,0.367)","0.445(0.049,0.856)","0.066(-0.251,0.427)","-0.105(-0.453,0.224)","-0.132(-0.521,0.235)","-0.065(-0.354,0.31)","0.145(-0.208,0.509)","0.119(-0.21,0.487)","0.201(-0.273,0.708)","-0.399(-0.722,-0.068)","0.007(-0.299,0.337)","0.204(-0.136,0.567)","0.049(-0.261,0.418)","0.028(-0.257,0.376)","0.141(-0.266,0.53)","0.181(-0.234,0.809)"
"5","0.345(0.035,0.683)","0.067(-0.193,0.313)","0.173(-0.183,0.513)","0.038(-0.339,0.389)","Cariprazine","0.027(-0.32,0.36)","0.483(0.11,0.808)","0.104(-0.168,0.402)","-0.067(-0.343,0.269)","-0.094(-0.491,0.38)","-0.028(-0.395,0.246)","0.183(-0.069,0.422)","0.157(-0.16,0.462)","0.239(-0.245,0.734)","-0.361(-0.617,-0.071)","0.045(-0.238,0.369)","0.242(-0.03,0.555)","0.087(-0.209,0.357)","0.065(-0.229,0.326)","0.179(-0.224,0.545)","0.219(-0.253,0.676)"
"6","0.318(0.056,0.607)","0.04(-0.16,0.234)","0.146(-0.09,0.409)","0.011(-0.367,0.321)","-0.027(-0.36,0.32)","Chlorpromazine","0.456(0.237,0.72)","0.077(-0.098,0.268)","-0.094(-0.347,0.221)","-0.121(-0.297,0.106)","-0.055(-0.274,0.188)","0.156(-0.033,0.339)","0.13(-0.119,0.351)","0.212(-0.195,0.596)","-0.388(-0.561,-0.215)","0.018(-0.207,0.213)","0.215(0.041,0.393)","0.06(-0.203,0.344)","0.039(-0.146,0.326)","0.152(-0.223,0.459)","0.192(-0.236,0.628)"
"7","-0.138(-0.428,0.167)","-0.416(-0.635,-0.181)","-0.31(-0.56,-0.063)","-0.445(-0.856,-0.049)","-0.483(-0.808,-0.11)","-0.456(-0.72,-0.237)","Clozapine","-0.379(-0.585,-0.189)","-0.55(-0.801,-0.33)","-0.577(-0.842,-0.296)","-0.511(-0.764,-0.273)","-0.3(-0.501,-0.099)","-0.326(-0.611,-0.045)","-0.244(-0.623,0.157)","-0.844(-1.015,-0.653)","-0.438(-0.675,-0.223)","-0.241(-0.431,-0.034)","-0.396(-0.67,-0.117)","-0.418(-0.679,-0.096)","-0.304(-0.724,0.036)","-0.264(-0.639,0.202)"
"8","0.24(0.061,0.431)","-0.038(-0.122,0.056)","0.068(-0.131,0.254)","-0.066(-0.427,0.251)","-0.104(-0.402,0.168)","-0.077(-0.268,0.098)","0.379(0.189,0.585)","Haloperidol","-0.171(-0.303,-0.015)","-0.198(-0.454,0.072)","-0.132(-0.295,0.007)","0.079(-0.002,0.152)","0.052(-0.121,0.195)","0.134(-0.234,0.483)","-0.465(-0.52,-0.401)","-0.059(-0.164,0.06)","0.138(0.057,0.218)","-0.018(-0.204,0.178)","-0.039(-0.187,0.126)","0.075(-0.255,0.326)","0.115(-0.231,0.506)"
"9","0.412(0.18,0.67)","0.134(-0.058,0.306)","0.24(0.015,0.446)","0.105(-0.224,0.453)","0.067(-0.269,0.343)","0.094(-0.221,0.347)","0.55(0.33,0.801)","0.171(0.015,0.303)","Iloperidone","-0.027(-0.341,0.28)","0.039(-0.176,0.25)","0.25(0.085,0.398)","0.224(0.004,0.382)","0.306(-0.068,0.686)","-0.294(-0.457,-0.159)","0.112(-0.055,0.273)","0.309(0.09,0.444)","0.154(-0.075,0.367)","0.133(-0.088,0.347)","0.246(-0.102,0.553)","0.286(-0.074,0.662)"
"10","0.438(0.154,0.764)","0.16(-0.111,0.459)","0.267(-0.065,0.567)","0.132(-0.235,0.521)","0.094(-0.38,0.491)","0.121(-0.106,0.297)","0.577(0.296,0.842)","0.198(-0.072,0.454)","0.027(-0.28,0.341)","Loxapine","0.066(-0.265,0.444)","0.277(-0.002,0.538)","0.251(-0.043,0.578)","0.332(-0.159,0.813)","-0.267(-0.543,0.013)","0.139(-0.103,0.408)","0.336(0.067,0.617)","0.18(-0.175,0.5)","0.159(-0.159,0.486)","0.273(-0.19,0.639)","0.313(-0.201,0.827)"
"11","0.372(0.142,0.628)","0.094(-0.078,0.275)","0.2(-0.038,0.424)","0.065(-0.31,0.354)","0.028(-0.246,0.395)","0.055(-0.188,0.274)","0.511(0.273,0.764)","0.132(-0.007,0.295)","-0.039(-0.25,0.176)","-0.066(-0.444,0.265)","Lurasidone","0.211(0.066,0.38)","0.184(-0.025,0.377)","0.266(-0.085,0.585)","-0.333(-0.478,-0.178)","0.073(-0.098,0.234)","0.269(0.114,0.458)","0.114(-0.155,0.334)","0.093(-0.098,0.341)","0.207(-0.122,0.482)","0.247(-0.135,0.668)"
"12","0.162(0.006,0.339)","-0.116(-0.2,-0.021)","-0.01(-0.206,0.174)","-0.145(-0.509,0.208)","-0.183(-0.422,0.069)","-0.156(-0.339,0.033)","0.3(0.099,0.501)","-0.079(-0.152,0.002)","-0.25(-0.398,-0.085)","-0.277(-0.538,0.002)","-0.211(-0.38,-0.066)","Olanzapine","-0.026(-0.168,0.109)","0.056(-0.368,0.417)","-0.544(-0.606,-0.48)","-0.138(-0.249,-0.022)","0.059(-0.03,0.165)","-0.096(-0.27,0.085)","-0.117(-0.242,0.04)","-0.004(-0.35,0.272)","0.036(-0.328,0.423)"
"13","0.188(-0.025,0.439)","-0.09(-0.237,0.089)","0.016(-0.188,0.28)","-0.119(-0.487,0.21)","-0.157(-0.462,0.16)","-0.13(-0.351,0.119)","0.326(0.045,0.611)","-0.052(-0.195,0.121)","-0.224(-0.382,-0.004)","-0.251(-0.578,0.043)","-0.184(-0.377,0.025)","0.026(-0.109,0.168)","Paliperidone","0.082(-0.319,0.498)","-0.517(-0.648,-0.371)","-0.112(-0.25,0.05)","0.085(-0.059,0.257)","-0.07(-0.268,0.15)","-0.091(-0.242,0.084)","0.022(-0.318,0.289)","0.062(-0.298,0.478)"
"14","0.106(-0.258,0.566)","-0.172(-0.509,0.223)","-0.066(-0.484,0.267)","-0.201(-0.708,0.273)","-0.239(-0.734,0.245)","-0.212(-0.596,0.195)","0.244(-0.157,0.623)","-0.134(-0.483,0.234)","-0.306(-0.686,0.068)","-0.332(-0.813,0.159)","-0.266(-0.585,0.085)","-0.056(-0.417,0.368)","-0.082(-0.498,0.319)","Perphenazine","-0.599(-0.962,-0.197)","-0.194(-0.543,0.187)","0.003(-0.36,0.409)","-0.152(-0.492,0.228)","-0.173(-0.557,0.314)","-0.06(-0.52,0.417)","-0.02(-0.653,0.62)"
"15","0.705(0.543,0.887)","0.427(0.352,0.525)","0.533(0.356,0.716)","0.399(0.068,0.722)","0.361(0.071,0.617)","0.388(0.215,0.561)","0.844(0.653,1.015)","0.465(0.401,0.52)","0.294(0.159,0.457)","0.267(-0.013,0.543)","0.333(0.178,0.478)","0.544(0.48,0.606)","0.517(0.371,0.648)","0.599(0.197,0.962)","Placebo","0.406(0.301,0.506)","0.603(0.527,0.679)","0.447(0.256,0.628)","0.426(0.297,0.573)","0.54(0.192,0.826)","0.58(0.234,0.997)"
