"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.305(-0.45,-0.144)","-0.333(-0.526,-0.139)","-0.456(-0.641,-0.238)","-0.368(-0.571,-0.212)","-0.256(-0.418,-0.053)","0.194(-0.012,0.412)","-0.246(-0.374,-0.099)","-0.393(-0.552,-0.22)","-0.317(-0.513,-0.058)","-0.362(-0.551,-0.217)","-0.161(-0.304,-0.035)","-0.223(-0.403,-0.079)","-0.184(-0.389,0.051)","-0.713(-0.838,-0.585)","-0.297(-0.459,-0.15)","-0.165(-0.305,-0.036)","-0.318(-0.488,-0.153)","-0.305(-0.485,-0.154)","-0.106(-0.329,0.134)","-0.197(-0.477,0.047)"
"2","0.305(0.144,0.45)","Aripiprazole","-0.029(-0.156,0.124)","-0.152(-0.277,-0.001)","-0.063(-0.208,0.051)","0.048(-0.101,0.191)","0.498(0.317,0.69)","0.059(-0.03,0.158)","-0.089(-0.23,0.022)","-0.012(-0.244,0.194)","-0.057(-0.194,0.096)","0.144(0.068,0.232)","0.081(-0.054,0.2)","0.12(-0.044,0.274)","-0.409(-0.496,-0.325)","0.007(-0.107,0.105)","0.14(0.028,0.239)","-0.014(-0.158,0.127)","-0.001(-0.112,0.122)","0.199(-0.017,0.437)","0.107(-0.077,0.309)"
"3","0.333(0.139,0.526)","0.029(-0.124,0.156)","Asenapine","-0.123(-0.305,0.046)","-0.034(-0.216,0.131)","0.077(-0.115,0.257)","0.527(0.321,0.709)","0.087(-0.055,0.209)","-0.06(-0.236,0.109)","0.017(-0.208,0.286)","-0.028(-0.187,0.131)","0.173(0.031,0.307)","0.11(-0.048,0.273)","0.149(-0.026,0.342)","-0.38(-0.505,-0.263)","0.036(-0.105,0.16)","0.169(0.029,0.291)","0.015(-0.178,0.164)","0.028(-0.132,0.176)","0.228(0.004,0.47)","0.136(-0.127,0.371)"
"4","0.456(0.238,0.641)","0.152(0.001,0.277)","0.123(-0.046,0.305)","Brexpiprazole","0.088(-0.119,0.283)","0.2(0.015,0.365)","0.65(0.452,0.896)","0.21(0.081,0.331)","0.063(-0.114,0.212)","0.14(-0.081,0.379)","0.095(-0.054,0.299)","0.296(0.161,0.433)","0.233(0.048,0.383)","0.272(0.076,0.506)","-0.257(-0.381,-0.124)","0.159(-0.012,0.306)","0.292(0.134,0.427)","0.138(-0.05,0.293)","0.151(-0.03,0.324)","0.351(0.051,0.591)","0.259(0.016,0.492)"
"5","0.368(0.212,0.571)","0.063(-0.051,0.208)","0.034(-0.131,0.216)","-0.088(-0.283,0.119)","Cariprazine","0.112(-0.078,0.29)","0.561(0.366,0.793)","0.122(0.014,0.28)","-0.025(-0.207,0.15)","0.051(-0.184,0.29)","0.006(-0.156,0.2)","0.207(0.079,0.387)","0.145(-0.032,0.312)","0.184(-0.015,0.415)","-0.345(-0.465,-0.188)","0.071(-0.083,0.219)","0.203(0.065,0.363)","0.05(-0.114,0.224)","0.063(-0.092,0.257)","0.262(0.019,0.507)","0.171(-0.065,0.42)"
"6","0.256(0.053,0.418)","-0.048(-0.191,0.101)","-0.077(-0.257,0.115)","-0.2(-0.365,-0.015)","-0.112(-0.29,0.078)","Chlorpromazine","0.45(0.272,0.646)","0.01(-0.11,0.133)","-0.137(-0.3,0.029)","-0.06(-0.268,0.19)","-0.105(-0.265,0.071)","0.096(-0.043,0.254)","0.033(-0.123,0.207)","0.072(-0.145,0.289)","-0.457(-0.587,-0.316)","-0.041(-0.156,0.092)","0.092(-0.042,0.248)","-0.062(-0.265,0.13)","-0.049(-0.202,0.114)","0.151(-0.058,0.355)","0.059(-0.178,0.286)"
"7","-0.194(-0.412,0.012)","-0.498(-0.69,-0.317)","-0.527(-0.709,-0.321)","-0.65(-0.896,-0.452)","-0.561(-0.793,-0.366)","-0.45(-0.646,-0.272)","Clozapine","-0.44(-0.616,-0.287)","-0.587(-0.779,-0.415)","-0.51(-0.709,-0.253)","-0.555(-0.762,-0.336)","-0.354(-0.527,-0.187)","-0.417(-0.62,-0.224)","-0.378(-0.583,-0.137)","-0.907(-1.087,-0.748)","-0.491(-0.667,-0.324)","-0.358(-0.542,-0.186)","-0.512(-0.765,-0.312)","-0.499(-0.711,-0.304)","-0.299(-0.517,-0.057)","-0.391(-0.651,-0.162)"
"8","0.246(0.099,0.374)","-0.059(-0.158,0.03)","-0.087(-0.209,0.055)","-0.21(-0.331,-0.081)","-0.122(-0.28,-0.014)","-0.01(-0.133,0.11)","0.44(0.287,0.616)","Haloperidol","-0.147(-0.245,-0.027)","-0.071(-0.256,0.153)","-0.116(-0.231,-0.003)","0.085(0.016,0.16)","0.023(-0.084,0.114)","0.062(-0.108,0.244)","-0.467(-0.529,-0.399)","-0.051(-0.154,0.033)","0.081(0.002,0.159)","-0.072(-0.222,0.052)","-0.059(-0.182,0.044)","0.14(-0.064,0.337)","0.049(-0.15,0.257)"
"9","0.393(0.22,0.552)","0.089(-0.022,0.23)","0.06(-0.109,0.236)","-0.063(-0.212,0.114)","0.025(-0.15,0.207)","0.137(-0.029,0.3)","0.587(0.415,0.779)","0.147(0.027,0.245)","Iloperidone","0.077(-0.102,0.293)","0.032(-0.126,0.195)","0.233(0.124,0.356)","0.17(0.031,0.303)","0.209(0.043,0.384)","-0.32(-0.439,-0.212)","0.096(-0.043,0.2)","0.228(0.11,0.343)","0.075(-0.096,0.225)","0.088(-0.041,0.229)","0.288(0.045,0.491)","0.196(-0.019,0.428)"
"10","0.317(0.058,0.513)","0.012(-0.194,0.244)","-0.017(-0.286,0.208)","-0.14(-0.379,0.081)","-0.051(-0.29,0.184)","0.06(-0.19,0.268)","0.51(0.253,0.709)","0.071(-0.153,0.256)","-0.077(-0.293,0.102)","Loxapine","-0.045(-0.266,0.165)","0.156(-0.086,0.377)","0.093(-0.105,0.309)","0.132(-0.132,0.391)","-0.397(-0.601,-0.2)","0.019(-0.193,0.214)","0.152(-0.088,0.353)","-0.002(-0.245,0.21)","0.011(-0.215,0.266)","0.211(-0.095,0.531)","0.119(-0.109,0.348)"
"11","0.362(0.217,0.551)","0.057(-0.096,0.194)","0.028(-0.131,0.187)","-0.095(-0.299,0.054)","-0.006(-0.2,0.156)","0.105(-0.071,0.265)","0.555(0.336,0.762)","0.116(0.003,0.231)","-0.032(-0.195,0.126)","0.045(-0.165,0.266)","Lurasidone","0.201(0.064,0.316)","0.138(-0.011,0.273)","0.177(-0.045,0.366)","-0.352(-0.467,-0.248)","0.064(-0.079,0.192)","0.197(0.089,0.337)","0.043(-0.135,0.235)","0.056(-0.089,0.207)","0.256(-0.004,0.484)","0.164(-0.072,0.426)"
"12","0.161(0.035,0.304)","-0.144(-0.232,-0.068)","-0.173(-0.307,-0.031)","-0.296(-0.433,-0.161)","-0.207(-0.387,-0.079)","-0.096(-0.254,0.043)","0.354(0.187,0.527)","-0.085(-0.16,-0.016)","-0.233(-0.356,-0.124)","-0.156(-0.377,0.086)","-0.201(-0.316,-0.064)","Olanzapine","-0.062(-0.164,0.053)","-0.024(-0.2,0.156)","-0.553(-0.603,-0.501)","-0.137(-0.226,-0.05)","-0.004(-0.086,0.084)","-0.157(-0.298,-0.031)","-0.145(-0.262,-0.03)","0.055(-0.151,0.249)","-0.036(-0.263,0.191)"
"13","0.223(0.079,0.403)","-0.081(-0.2,0.054)","-0.11(-0.273,0.048)","-0.233(-0.383,-0.048)","-0.145(-0.312,0.032)","-0.033(-0.207,0.123)","0.417(0.224,0.62)","-0.023(-0.114,0.084)","-0.17(-0.303,-0.031)","-0.093(-0.309,0.105)","-0.138(-0.273,0.011)","0.062(-0.053,0.164)","Paliperidone","0.039(-0.155,0.253)","-0.49(-0.576,-0.376)","-0.074(-0.201,0.051)","0.058(-0.067,0.194)","-0.095(-0.248,0.068)","-0.082(-0.242,0.049)","0.118(-0.13,0.354)","0.026(-0.166,0.255)"
