"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.297(-0.433,-0.153)","-0.27(-0.476,-0.089)","-0.462(-0.662,-0.273)","-0.387(-0.592,-0.201)","-0.266(-0.431,-0.073)","0.175(-0.027,0.365)","-0.243(-0.369,-0.105)","-0.396(-0.557,-0.232)","-0.328(-0.539,-0.093)","-0.305(-0.475,-0.108)","-0.126(-0.246,0.011)","-0.2(-0.337,-0.055)","-0.164(-0.398,0.032)","-0.735(-0.878,-0.582)","-0.28(-0.418,-0.118)","-0.166(-0.289,-0.03)","-0.307(-0.515,-0.124)","-0.305(-0.473,-0.124)","-0.064(-0.285,0.232)","-0.201(-0.423,0.027)"
"2","0.297(0.153,0.433)","Aripiprazole","0.027(-0.126,0.158)","-0.165(-0.295,-0.029)","-0.09(-0.208,0.042)","0.031(-0.111,0.186)","0.472(0.275,0.63)","0.054(-0.028,0.149)","-0.099(-0.206,0.037)","-0.031(-0.214,0.139)","-0.008(-0.136,0.148)","0.171(0.087,0.261)","0.097(-0.025,0.223)","0.133(-0.074,0.329)","-0.438(-0.52,-0.34)","0.017(-0.084,0.127)","0.131(0.049,0.236)","-0.01(-0.151,0.142)","-0.008(-0.156,0.116)","0.233(-0.022,0.472)","0.097(-0.102,0.308)"
"3","0.27(0.089,0.476)","-0.027(-0.158,0.126)","Asenapine","-0.193(-0.362,0.003)","-0.117(-0.284,0.085)","0.004(-0.161,0.154)","0.445(0.23,0.651)","0.027(-0.096,0.162)","-0.127(-0.28,0.013)","-0.058(-0.282,0.104)","-0.035(-0.154,0.096)","0.144(0.034,0.27)","0.07(-0.069,0.22)","0.106(-0.128,0.302)","-0.465(-0.569,-0.358)","-0.01(-0.133,0.142)","0.104(-0.003,0.253)","-0.038(-0.206,0.163)","-0.035(-0.156,0.139)","0.206(-0.011,0.499)","0.069(-0.183,0.286)"
"4","0.462(0.273,0.662)","0.165(0.029,0.295)","0.193(-0.003,0.362)","Brexpiprazole","0.075(-0.077,0.229)","0.196(0.028,0.364)","0.637(0.418,0.841)","0.22(0.074,0.332)","0.066(-0.096,0.231)","0.134(-0.042,0.328)","0.157(0.01,0.31)","0.336(0.178,0.469)","0.263(0.113,0.434)","0.298(0.125,0.514)","-0.273(-0.409,-0.166)","0.183(0.063,0.302)","0.296(0.164,0.419)","0.155(-0.004,0.313)","0.158(-0.022,0.317)","0.398(0.186,0.636)","0.262(0.023,0.513)"
"5","0.387(0.201,0.592)","0.09(-0.042,0.208)","0.117(-0.085,0.284)","-0.075(-0.229,0.077)","Cariprazine","0.121(-0.04,0.284)","0.562(0.351,0.787)","0.144(0.034,0.29)","-0.009(-0.16,0.155)","0.059(-0.141,0.237)","0.082(-0.1,0.259)","0.261(0.114,0.394)","0.187(0.055,0.351)","0.223(-0.012,0.465)","-0.348(-0.486,-0.214)","0.107(-0.038,0.255)","0.221(0.088,0.377)","0.08(-0.092,0.267)","0.082(-0.084,0.252)","0.323(0.059,0.584)","0.187(-0.008,0.398)"
"6","0.266(0.073,0.431)","-0.031(-0.186,0.111)","-0.004(-0.154,0.161)","-0.196(-0.364,-0.028)","-0.121(-0.284,0.04)","Chlorpromazine","0.441(0.278,0.62)","0.023(-0.09,0.14)","-0.13(-0.274,0.016)","-0.062(-0.262,0.09)","-0.039(-0.179,0.134)","0.14(0.012,0.26)","0.066(-0.125,0.228)","0.102(-0.115,0.27)","-0.469(-0.583,-0.351)","-0.014(-0.141,0.114)","0.1(-0.018,0.246)","-0.041(-0.202,0.171)","-0.039(-0.189,0.12)","0.202(0.022,0.461)","0.066(-0.159,0.266)"
"7","-0.175(-0.365,0.027)","-0.472(-0.63,-0.275)","-0.445(-0.651,-0.23)","-0.637(-0.841,-0.418)","-0.562(-0.787,-0.351)","-0.441(-0.62,-0.278)","Clozapine","-0.418(-0.542,-0.237)","-0.571(-0.737,-0.384)","-0.503(-0.711,-0.29)","-0.48(-0.678,-0.299)","-0.301(-0.451,-0.137)","-0.375(-0.572,-0.191)","-0.339(-0.584,-0.139)","-0.91(-1.059,-0.728)","-0.455(-0.604,-0.273)","-0.341(-0.514,-0.152)","-0.482(-0.675,-0.293)","-0.48(-0.66,-0.324)","-0.239(-0.474,0.04)","-0.375(-0.657,-0.117)"
"8","0.243(0.105,0.369)","-0.054(-0.149,0.028)","-0.027(-0.162,0.096)","-0.22(-0.332,-0.074)","-0.144(-0.29,-0.034)","-0.023(-0.14,0.09)","0.418(0.237,0.542)","Haloperidol","-0.154(-0.24,-0.052)","-0.085(-0.286,0.082)","-0.062(-0.188,0.055)","0.117(0.041,0.183)","0.043(-0.082,0.162)","0.079(-0.124,0.227)","-0.492(-0.553,-0.433)","-0.037(-0.14,0.033)","0.077(-0.002,0.153)","-0.065(-0.192,0.079)","-0.062(-0.171,0.026)","0.179(-0.036,0.394)","0.042(-0.133,0.234)"
"9","0.396(0.232,0.557)","0.099(-0.037,0.206)","0.127(-0.013,0.28)","-0.066(-0.231,0.096)","0.009(-0.155,0.16)","0.13(-0.016,0.274)","0.571(0.384,0.737)","0.154(0.052,0.24)","Iloperidone","0.068(-0.113,0.282)","0.091(-0.044,0.208)","0.27(0.168,0.349)","0.197(0.05,0.317)","0.232(0.052,0.401)","-0.339(-0.43,-0.262)","0.117(0.019,0.242)","0.23(0.124,0.325)","0.089(-0.053,0.23)","0.092(-0.04,0.226)","0.333(0.11,0.547)","0.196(-0.018,0.401)"
"10","0.328(0.093,0.539)","0.031(-0.139,0.214)","0.058(-0.104,0.282)","-0.134(-0.328,0.042)","-0.059(-0.237,0.141)","0.062(-0.09,0.262)","0.503(0.29,0.711)","0.085(-0.082,0.286)","-0.068(-0.282,0.113)","Loxapine","0.023(-0.145,0.225)","0.202(0.018,0.389)","0.128(-0.09,0.323)","0.164(-0.121,0.381)","-0.407(-0.567,-0.2)","0.048(-0.129,0.233)","0.162(-0.018,0.34)","0.021(-0.196,0.226)","0.023(-0.15,0.229)","0.264(0.01,0.563)","0.128(-0.143,0.374)"
"11","0.305(0.108,0.475)","0.008(-0.148,0.136)","0.035(-0.096,0.154)","-0.157(-0.31,-0.01)","-0.082(-0.259,0.1)","0.039(-0.134,0.179)","0.48(0.299,0.678)","0.062(-0.055,0.188)","-0.091(-0.208,0.044)","-0.023(-0.225,0.145)","Lurasidone","0.179(0.068,0.289)","0.105(-0.033,0.232)","0.141(-0.054,0.343)","-0.43(-0.538,-0.323)","0.025(-0.082,0.144)","0.139(0.024,0.274)","-0.002(-0.155,0.183)","0(-0.126,0.118)","0.241(0.024,0.458)","0.105(-0.089,0.351)"
"12","0.126(-0.011,0.246)","-0.171(-0.261,-0.087)","-0.144(-0.27,-0.034)","-0.336(-0.469,-0.178)","-0.261(-0.394,-0.114)","-0.14(-0.26,-0.012)","0.301(0.137,0.451)","-0.117(-0.183,-0.041)","-0.27(-0.349,-0.168)","-0.202(-0.389,-0.018)","-0.179(-0.289,-0.068)","Olanzapine","-0.074(-0.176,0.022)","-0.038(-0.22,0.119)","-0.609(-0.659,-0.548)","-0.154(-0.239,-0.073)","-0.04(-0.098,0.035)","-0.181(-0.322,-0.025)","-0.179(-0.266,-0.077)","0.062(-0.167,0.325)","-0.074(-0.244,0.121)"
