"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.194(-0.497,0.079)","-0.151(-0.415,0.093)","-0.394(-0.622,-0.086)","-0.148(-0.662,0.193)","-0.161(-0.373,0.073)","0.095(-0.164,0.407)","-0.179(-0.376,0.018)","-0.538(-0.824,-0.241)","-0.218(-0.521,0.111)","-0.096(-0.385,0.249)","-0.083(-0.3,0.168)","-0.066(-0.284,0.208)","-0.112(-0.512,0.301)","-0.612(-0.852,-0.37)","-0.196(-0.43,0.029)","-0.234(-0.441,-0.021)","-0.164(-0.461,0.119)","-0.271(-0.541,-0.045)","-0.068(-0.347,0.269)","-0.174(-0.502,0.108)"
"2","0.194(-0.079,0.497)","Aripiprazole","0.042(-0.204,0.313)","-0.2(-0.441,0.01)","0.045(-0.347,0.452)","0.033(-0.209,0.319)","0.288(-0.016,0.591)","0.015(-0.239,0.264)","-0.345(-0.765,-0.009)","-0.024(-0.316,0.324)","0.098(-0.313,0.485)","0.111(-0.095,0.308)","0.127(-0.093,0.393)","0.081(-0.406,0.565)","-0.419(-0.631,-0.202)","-0.002(-0.244,0.277)","-0.041(-0.241,0.2)","0.03(-0.248,0.324)","-0.077(-0.336,0.231)","0.126(-0.186,0.489)","0.019(-0.375,0.346)"
"3","0.151(-0.093,0.415)","-0.042(-0.313,0.204)","Asenapine","-0.243(-0.436,-0.054)","0.003(-0.423,0.334)","-0.009(-0.194,0.158)","0.246(-0.026,0.527)","-0.028(-0.201,0.107)","-0.387(-0.704,-0.066)","-0.067(-0.351,0.184)","0.056(-0.262,0.412)","0.069(-0.071,0.209)","0.085(-0.101,0.259)","0.039(-0.351,0.444)","-0.461(-0.592,-0.328)","-0.044(-0.205,0.149)","-0.083(-0.282,0.1)","-0.013(-0.253,0.247)","-0.12(-0.322,0.148)","0.083(-0.197,0.374)","-0.023(-0.345,0.22)"
"4","0.394(0.086,0.622)","0.2(-0.01,0.441)","0.243(0.054,0.436)","Brexpiprazole","0.246(-0.231,0.581)","0.233(-0.002,0.452)","0.488(0.145,0.724)","0.215(0.017,0.392)","-0.144(-0.502,0.159)","0.176(-0.106,0.483)","0.298(-0.032,0.713)","0.311(0.132,0.517)","0.327(0.145,0.51)","0.281(-0.215,0.74)","-0.219(-0.355,-0.04)","0.198(0.002,0.384)","0.16(-0.092,0.358)","0.23(-0.058,0.522)","0.123(-0.12,0.326)","0.326(0.004,0.661)","0.22(-0.08,0.55)"
"5","0.148(-0.193,0.662)","-0.045(-0.452,0.347)","-0.003(-0.334,0.423)","-0.246(-0.581,0.231)","Cariprazine","-0.012(-0.343,0.377)","0.243(-0.087,0.757)","-0.031(-0.336,0.357)","-0.39(-0.794,0.117)","-0.07(-0.468,0.418)","0.053(-0.401,0.484)","0.066(-0.21,0.444)","0.082(-0.202,0.471)","0.036(-0.451,0.531)","-0.464(-0.771,-0.073)","-0.047(-0.391,0.414)","-0.086(-0.439,0.342)","-0.016(-0.415,0.582)","-0.123(-0.457,0.289)","0.08(-0.347,0.57)","-0.026(-0.44,0.549)"
"6","0.161(-0.073,0.373)","-0.033(-0.319,0.209)","0.009(-0.158,0.194)","-0.233(-0.452,0.002)","0.012(-0.377,0.343)","Chlorpromazine","0.255(0.045,0.49)","-0.018(-0.179,0.162)","-0.378(-0.648,-0.106)","-0.057(-0.278,0.197)","0.065(-0.264,0.321)","0.078(-0.074,0.231)","0.094(-0.09,0.288)","0.048(-0.335,0.453)","-0.452(-0.599,-0.295)","-0.035(-0.215,0.153)","-0.074(-0.267,0.098)","-0.003(-0.297,0.263)","-0.11(-0.386,0.147)","0.093(-0.166,0.434)","-0.014(-0.283,0.234)"
"7","-0.095(-0.407,0.164)","-0.288(-0.591,0.016)","-0.246(-0.527,0.026)","-0.488(-0.724,-0.145)","-0.243(-0.757,0.087)","-0.255(-0.49,-0.045)","Clozapine","-0.274(-0.524,-0.025)","-0.633(-1.052,-0.327)","-0.313(-0.646,0.056)","-0.19(-0.617,0.167)","-0.177(-0.425,0.069)","-0.161(-0.395,0.065)","-0.207(-0.71,0.184)","-0.707(-0.956,-0.502)","-0.29(-0.5,-0.035)","-0.329(-0.556,-0.089)","-0.259(-0.602,0.059)","-0.366(-0.733,-0.055)","-0.163(-0.451,0.15)","-0.269(-0.628,0.114)"
"8","0.179(-0.018,0.376)","-0.015(-0.264,0.239)","0.028(-0.107,0.201)","-0.215(-0.392,-0.017)","0.031(-0.357,0.336)","0.018(-0.162,0.179)","0.274(0.025,0.524)","Haloperidol","-0.359(-0.608,-0.112)","-0.039(-0.291,0.221)","0.083(-0.245,0.407)","0.096(-0.039,0.212)","0.113(-0.057,0.253)","0.067(-0.291,0.443)","-0.434(-0.55,-0.319)","-0.017(-0.191,0.142)","-0.055(-0.179,0.066)","0.015(-0.276,0.251)","-0.092(-0.314,0.126)","0.111(-0.142,0.405)","0.005(-0.294,0.268)"
"9","0.538(0.241,0.824)","0.345(0.009,0.765)","0.387(0.066,0.704)","0.144(-0.159,0.502)","0.39(-0.117,0.794)","0.378(0.106,0.648)","0.633(0.327,1.052)","0.359(0.112,0.608)","Iloperidone","0.32(-0.004,0.679)","0.443(0.125,0.757)","0.456(0.177,0.774)","0.472(0.141,0.825)","0.426(0.043,0.828)","-0.074(-0.349,0.262)","0.343(0.095,0.627)","0.304(0.072,0.625)","0.374(-0.06,0.81)","0.267(-0.118,0.614)","0.47(0.145,0.878)","0.364(0.02,0.667)"
"10","0.218(-0.111,0.521)","0.024(-0.324,0.316)","0.067(-0.184,0.351)","-0.176(-0.483,0.106)","0.07(-0.418,0.468)","0.057(-0.197,0.278)","0.313(-0.056,0.646)","0.039(-0.221,0.291)","-0.32(-0.679,0.004)","Loxapine","0.122(-0.325,0.519)","0.135(-0.126,0.366)","0.151(-0.136,0.409)","0.106(-0.343,0.549)","-0.395(-0.636,-0.179)","0.022(-0.187,0.314)","-0.016(-0.368,0.215)","0.054(-0.322,0.417)","-0.053(-0.356,0.249)","0.15(-0.222,0.522)","0.044(-0.406,0.428)"
"11","0.096(-0.249,0.385)","-0.098(-0.485,0.313)","-0.056(-0.412,0.262)","-0.298(-0.713,0.032)","-0.053(-0.484,0.401)","-0.065(-0.321,0.264)","0.19(-0.167,0.617)","-0.083(-0.407,0.245)","-0.443(-0.757,-0.125)","-0.122(-0.519,0.325)","Lurasidone","0.013(-0.317,0.312)","0.029(-0.332,0.365)","-0.017(-0.508,0.512)","-0.517(-0.851,-0.198)","-0.1(-0.429,0.207)","-0.139(-0.44,0.149)","-0.068(-0.439,0.323)","-0.175(-0.594,0.22)","0.028(-0.423,0.437)","-0.079(-0.455,0.316)"
"12","0.083(-0.168,0.3)","-0.111(-0.308,0.095)","-0.069(-0.209,0.071)","-0.311(-0.517,-0.132)","-0.066(-0.444,0.21)","-0.078(-0.231,0.074)","0.177(-0.069,0.425)","-0.096(-0.212,0.039)","-0.456(-0.774,-0.177)","-0.135(-0.366,0.126)","-0.013(-0.312,0.317)","Olanzapine","0.016(-0.11,0.161)","-0.03(-0.477,0.403)","-0.53(-0.627,-0.416)","-0.113(-0.238,0.018)","-0.152(-0.318,-0.019)","-0.081(-0.329,0.164)","-0.188(-0.402,0.005)","0.015(-0.239,0.281)","-0.092(-0.438,0.173)"
"13","0.066(-0.208,0.284)","-0.127(-0.393,0.093)","-0.085(-0.259,0.101)","-0.327(-0.51,-0.145)","-0.082(-0.471,0.202)","-0.094(-0.288,0.09)","0.161(-0.065,0.395)","-0.113(-0.253,0.057)","-0.472(-0.825,-0.141)","-0.151(-0.409,0.136)","-0.029(-0.365,0.332)","-0.016(-0.161,0.11)","Paliperidone","-0.046(-0.496,0.423)","-0.546(-0.654,-0.423)","-0.129(-0.276,0.067)","-0.168(-0.371,0.013)","-0.097(-0.325,0.173)","-0.204(-0.423,0.003)","-0.002(-0.263,0.247)","-0.108(-0.461,0.215)"
"14","0.112(-0.301,0.512)","-0.081(-0.565,0.406)","-0.039(-0.444,0.351)","-0.281(-0.74,0.215)","-0.036(-0.531,0.451)","-0.048(-0.453,0.335)","0.207(-0.184,0.71)","-0.067(-0.443,0.291)","-0.426(-0.828,-0.043)","-0.106(-0.549,0.343)","0.017(-0.512,0.508)","0.03(-0.403,0.477)","0.046(-0.423,0.496)","Perphenazine","-0.5(-0.916,-0.05)","-0.083(-0.467,0.31)","-0.122(-0.499,0.263)","-0.052(-0.567,0.318)","-0.159(-0.577,0.312)","0.044(-0.335,0.61)","-0.062(-0.484,0.286)"
"15","0.612(0.37,0.852)","0.419(0.202,0.631)","0.461(0.328,0.592)","0.219(0.04,0.355)","0.464(0.073,0.771)","0.452(0.295,0.599)","0.707(0.502,0.956)","0.434(0.319,0.55)","0.074(-0.262,0.349)","0.395(0.179,0.636)","0.517(0.198,0.851)","0.53(0.416,0.627)","0.546(0.423,0.654)","0.5(0.05,0.916)","Placebo","0.417(0.28,0.561)","0.378(0.215,0.506)","0.449(0.215,0.725)","0.342(0.12,0.535)","0.545(0.321,0.789)","0.438(0.113,0.725)"
"16","0.196(-0.029,0.43)","0.002(-0.277,0.244)","0.044(-0.149,0.205)","-0.198(-0.384,-0.002)","0.047(-0.414,0.391)","0.035(-0.153,0.215)","0.29(0.035,0.5)","0.017(-0.142,0.191)","-0.343(-0.627,-0.095)","-0.022(-0.314,0.187)","0.1(-0.207,0.429)","0.113(-0.018,0.238)","0.129(-0.067,0.276)","0.083(-0.31,0.467)","-0.417(-0.561,-0.28)","Quetiapine","-0.039(-0.224,0.146)","0.032(-0.242,0.264)","-0.075(-0.336,0.173)","0.128(-0.162,0.434)","0.021(-0.294,0.279)"
"17","0.234(0.021,0.441)","0.041(-0.2,0.241)","0.083(-0.1,0.282)","-0.16(-0.358,0.092)","0.086(-0.342,0.439)","0.074(-0.098,0.267)","0.329(0.089,0.556)","0.055(-0.066,0.179)","-0.304(-0.625,-0.072)","0.016(-0.215,0.368)","0.139(-0.149,0.44)","0.152(0.019,0.318)","0.168(-0.013,0.371)","0.122(-0.263,0.499)","-0.378(-0.506,-0.215)","0.039(-0.146,0.224)","Risperidone","0.07(-0.197,0.331)","-0.037(-0.284,0.26)","0.166(-0.096,0.464)","0.06(-0.218,0.308)"
"18","0.164(-0.119,0.461)","-0.03(-0.324,0.248)","0.013(-0.247,0.253)","-0.23(-0.522,0.058)","0.016(-0.582,0.415)","0.003(-0.263,0.297)","0.259(-0.059,0.602)","-0.015(-0.251,0.276)","-0.374(-0.81,0.06)","-0.054(-0.417,0.322)","0.068(-0.323,0.439)","0.081(-0.164,0.329)","0.097(-0.173,0.325)","0.052(-0.318,0.567)","-0.449(-0.725,-0.215)","-0.032(-0.264,0.242)","-0.07(-0.331,0.197)","Sertindole","-0.107(-0.449,0.212)","0.096(-0.263,0.45)","-0.01(-0.418,0.345)"
"19","0.271(0.045,0.541)","0.077(-0.231,0.336)","0.12(-0.148,0.322)","-0.123(-0.326,0.12)","0.123(-0.289,0.457)","0.11(-0.147,0.386)","0.366(0.055,0.733)","0.092(-0.126,0.314)","-0.267(-0.614,0.118)","0.053(-0.249,0.356)","0.175(-0.22,0.594)","0.188(-0.005,0.402)","0.204(-0.003,0.423)","0.159(-0.312,0.577)","-0.342(-0.535,-0.12)","0.075(-0.173,0.336)","0.037(-0.26,0.284)","0.107(-0.212,0.449)","Ziprasidone","0.203(-0.108,0.541)","0.097(-0.313,0.454)"
"20","0.068(-0.269,0.347)","-0.126(-0.489,0.186)","-0.083(-0.374,0.197)","-0.326(-0.661,-0.004)","-0.08(-0.57,0.347)","-0.093(-0.434,0.166)","0.163(-0.15,0.451)","-0.111(-0.405,0.142)","-0.47(-0.878,-0.145)","-0.15(-0.522,0.222)","-0.028(-0.437,0.423)","-0.015(-0.281,0.239)","0.002(-0.247,0.263)","-0.044(-0.61,0.335)","-0.545(-0.789,-0.321)","-0.128(-0.434,0.162)","-0.166(-0.464,0.096)","-0.096(-0.45,0.263)","-0.203(-0.541,0.108)","Zotepine","-0.106(-0.521,0.303)"
