"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.326(-0.598,-0.077)","-0.315(-0.586,-0.052)","-0.425(-0.712,-0.148)","-0.352(-0.632,-0.079)","-0.327(-0.616,-0.015)","0.224(-0.107,0.564)","-0.31(-0.594,-0.079)","-0.413(-0.681,-0.158)","-0.47(-0.961,-0.024)","-0.341(-0.608,-0.081)","-0.18(-0.445,0.058)","-0.238(-0.515,0.02)","-0.222(-0.54,0.095)","-0.659(-0.912,-0.421)","-0.326(-0.584,-0.078)","-0.177(-0.426,0.063)","-0.345(-0.624,-0.052)","-0.359(-0.633,-0.095)","-0.104(-0.442,0.262)","-0.26(-0.65,0.106)"
"2","0.326(0.077,0.598)","Aripiprazole","0.012(-0.153,0.188)","-0.099(-0.277,0.081)","-0.026(-0.192,0.146)","0(-0.22,0.254)","0.55(0.282,0.846)","0.016(-0.14,0.155)","-0.087(-0.251,0.08)","-0.143(-0.572,0.272)","-0.015(-0.176,0.155)","0.147(0.018,0.27)","0.088(-0.074,0.255)","0.105(-0.142,0.353)","-0.333(-0.451,-0.211)","0(-0.146,0.157)","0.149(0.021,0.29)","-0.018(-0.219,0.211)","-0.032(-0.196,0.145)","0.222(-0.049,0.546)","0.066(-0.261,0.394)"
"3","0.315(0.052,0.586)","-0.012(-0.188,0.153)","Asenapine","-0.11(-0.306,0.084)","-0.037(-0.229,0.155)","-0.012(-0.249,0.241)","0.538(0.256,0.829)","0.004(-0.173,0.164)","-0.099(-0.278,0.08)","-0.155(-0.607,0.263)","-0.027(-0.203,0.15)","0.135(-0.021,0.28)","0.076(-0.107,0.254)","0.093(-0.165,0.348)","-0.345(-0.484,-0.21)","-0.011(-0.18,0.155)","0.138(-0.015,0.29)","-0.03(-0.246,0.193)","-0.044(-0.231,0.143)","0.211(-0.072,0.524)","0.055(-0.288,0.388)"
"4","0.425(0.148,0.712)","0.099(-0.081,0.277)","0.11(-0.084,0.306)","Brexpiprazole","0.073(-0.13,0.273)","0.098(-0.155,0.363)","0.649(0.353,0.96)","0.115(-0.071,0.297)","0.012(-0.187,0.209)","-0.045(-0.503,0.39)","0.084(-0.106,0.279)","0.245(0.073,0.415)","0.187(-0.009,0.384)","0.203(-0.071,0.47)","-0.234(-0.381,-0.087)","0.099(-0.076,0.276)","0.248(0.079,0.421)","0.08(-0.148,0.325)","0.066(-0.138,0.271)","0.321(0.021,0.661)","0.165(-0.194,0.513)"
"5","0.352(0.079,0.632)","0.026(-0.146,0.192)","0.037(-0.155,0.229)","-0.073(-0.273,0.13)","Cariprazine","0.025(-0.221,0.285)","0.576(0.285,0.876)","0.042(-0.144,0.217)","-0.061(-0.255,0.129)","-0.118(-0.574,0.312)","0.011(-0.179,0.201)","0.172(0.005,0.334)","0.114(-0.079,0.304)","0.13(-0.137,0.397)","-0.308(-0.454,-0.164)","0.026(-0.151,0.203)","0.175(0.014,0.338)","0.007(-0.217,0.246)","-0.007(-0.206,0.19)","0.248(-0.045,0.58)","0.092(-0.255,0.435)"
"6","0.327(0.015,0.616)","0(-0.254,0.22)","0.012(-0.241,0.249)","-0.098(-0.363,0.155)","-0.025(-0.285,0.221)","Chlorpromazine","0.55(0.234,0.846)","0.016(-0.252,0.232)","-0.087(-0.345,0.144)","-0.143(-0.635,0.263)","-0.015(-0.267,0.216)","0.147(-0.101,0.356)","0.089(-0.165,0.316)","0.105(-0.201,0.383)","-0.333(-0.569,-0.119)","0.001(-0.226,0.198)","0.15(-0.081,0.355)","-0.018(-0.29,0.24)","-0.032(-0.286,0.194)","0.223(-0.084,0.535)","0.067(-0.312,0.398)"
"7","-0.224(-0.564,0.107)","-0.55(-0.846,-0.282)","-0.538(-0.829,-0.256)","-0.649(-0.96,-0.353)","-0.576(-0.876,-0.285)","-0.55(-0.846,-0.234)","Clozapine","-0.534(-0.842,-0.275)","-0.637(-0.931,-0.361)","-0.693(-1.185,-0.258)","-0.565(-0.859,-0.288)","-0.403(-0.698,-0.15)","-0.462(-0.758,-0.188)","-0.445(-0.783,-0.117)","-0.883(-1.166,-0.622)","-0.55(-0.831,-0.287)","-0.401(-0.672,-0.141)","-0.568(-0.867,-0.265)","-0.582(-0.881,-0.303)","-0.328(-0.664,0.027)","-0.484(-0.882,-0.114)"
"8","0.31(0.079,0.594)","-0.016(-0.155,0.14)","-0.004(-0.164,0.173)","-0.115(-0.297,0.071)","-0.042(-0.217,0.144)","-0.016(-0.232,0.252)","0.534(0.275,0.842)","Haloperidol","-0.103(-0.237,0.052)","-0.159(-0.571,0.279)","-0.031(-0.189,0.14)","0.13(0.013,0.268)","0.072(-0.081,0.247)","0.089(-0.149,0.345)","-0.349(-0.464,-0.224)","-0.016(-0.148,0.148)","0.133(0.015,0.286)","-0.035(-0.222,0.208)","-0.048(-0.208,0.143)","0.206(-0.058,0.541)","0.05(-0.263,0.394)"
"9","0.413(0.158,0.681)","0.087(-0.08,0.251)","0.099(-0.08,0.278)","-0.012(-0.209,0.187)","0.061(-0.129,0.255)","0.087(-0.144,0.345)","0.637(0.361,0.931)","0.103(-0.052,0.237)","Iloperidone","-0.056(-0.497,0.356)","0.072(-0.103,0.253)","0.233(0.079,0.379)","0.175(0,0.352)","0.192(-0.062,0.445)","-0.246(-0.384,-0.107)","0.087(-0.072,0.252)","0.236(0.092,0.389)","0.068(-0.134,0.296)","0.055(-0.123,0.238)","0.309(0.036,0.629)","0.153(-0.176,0.486)"
"10","0.47(0.024,0.961)","0.143(-0.272,0.572)","0.155(-0.263,0.607)","0.045(-0.39,0.503)","0.118(-0.312,0.574)","0.143(-0.263,0.635)","0.693(0.258,1.185)","0.159(-0.279,0.571)","0.056(-0.356,0.497)","Loxapine","0.128(-0.292,0.578)","0.29(-0.128,0.715)","0.232(-0.181,0.672)","0.248(-0.195,0.724)","-0.19(-0.608,0.255)","0.144(-0.264,0.586)","0.293(-0.113,0.74)","0.125(-0.289,0.607)","0.111(-0.31,0.558)","0.366(-0.069,0.906)","0.21(-0.291,0.732)"
