"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","Amisulpride","-0.276(-0.455,-0.124)","-0.211(-0.375,-0.043)","-0.461(-0.726,-0.188)","-0.36(-0.597,-0.149)","-0.356(-0.545,-0.118)","0.165(-0.064,0.359)","-0.241(-0.376,-0.114)","-0.335(-0.516,-0.172)","-0.342(-0.649,-0.1)","-0.429(-0.608,-0.24)","-0.114(-0.249,0.001)","-0.16(-0.332,0.018)","-0.192(-0.396,-0.007)","-0.299(-0.459,-0.161)","-0.148(-0.284,-0.038)","-0.306(-0.481,-0.134)","-0.295(-0.488,-0.126)","-0.11(-0.346,0.121)","-0.246(-0.445,-0.007)"
"2","0.276(0.124,0.455)","Aripiprazole","0.065(-0.094,0.226)","-0.185(-0.417,0.073)","-0.084(-0.254,0.098)","-0.079(-0.253,0.068)","0.441(0.238,0.597)","0.036(-0.056,0.145)","-0.059(-0.196,0.075)","-0.066(-0.299,0.142)","-0.153(-0.313,0.025)","0.162(0.081,0.237)","0.116(-0.002,0.278)","0.084(-0.074,0.245)","-0.023(-0.131,0.093)","0.129(0.009,0.213)","-0.03(-0.193,0.109)","-0.019(-0.135,0.093)","0.166(-0.024,0.353)","0.03(-0.15,0.198)"
"3","0.211(0.043,0.375)","-0.065(-0.226,0.094)","Asenapine","-0.25(-0.501,-0.003)","-0.149(-0.464,0.077)","-0.144(-0.334,0.05)","0.376(0.139,0.593)","-0.03(-0.168,0.095)","-0.124(-0.314,0.047)","-0.131(-0.392,0.077)","-0.218(-0.422,-0.026)","0.097(-0.034,0.228)","0.051(-0.15,0.207)","0.019(-0.215,0.219)","-0.088(-0.252,0.071)","0.064(-0.073,0.195)","-0.095(-0.286,0.087)","-0.084(-0.263,0.07)","0.101(-0.077,0.321)","-0.035(-0.236,0.201)"
"4","0.461(0.188,0.726)","0.185(-0.073,0.417)","0.25(0.003,0.501)","Brexpiprazole","0.102(-0.181,0.368)","0.106(-0.165,0.364)","0.627(0.373,0.848)","0.221(0,0.42)","0.127(-0.135,0.369)","0.119(-0.233,0.357)","0.033(-0.193,0.375)","0.347(0.137,0.559)","0.301(0.063,0.564)","0.269(0.016,0.524)","0.163(-0.059,0.381)","0.314(0.094,0.496)","0.156(-0.1,0.401)","0.166(-0.078,0.396)","0.351(0.07,0.663)","0.216(-0.08,0.441)"
"5","0.36(0.149,0.597)","0.084(-0.098,0.254)","0.149(-0.077,0.464)","-0.102(-0.368,0.181)","Cariprazine","0.004(-0.246,0.209)","0.525(0.249,0.75)","0.119(-0.116,0.309)","0.025(-0.215,0.221)","0.018(-0.316,0.298)","-0.069(-0.342,0.16)","0.246(0.048,0.461)","0.2(-0.015,0.4)","0.168(-0.047,0.376)","0.061(-0.172,0.261)","0.212(0.015,0.416)","0.054(-0.166,0.263)","0.065(-0.14,0.259)","0.25(-0.035,0.501)","0.114(-0.115,0.335)"
"6","0.356(0.118,0.545)","0.079(-0.068,0.253)","0.144(-0.05,0.334)","-0.106(-0.364,0.165)","-0.004(-0.209,0.246)","Chlorpromazine","0.521(0.35,0.732)","0.115(-0.048,0.268)","0.021(-0.156,0.186)","0.014(-0.204,0.217)","-0.073(-0.296,0.12)","0.241(0.072,0.405)","0.196(-0.021,0.429)","0.163(-0.059,0.359)","0.057(-0.109,0.195)","0.208(0.026,0.36)","0.05(-0.211,0.247)","0.06(-0.125,0.235)","0.245(0.031,0.466)","0.11(-0.094,0.307)"
"7","-0.165(-0.359,0.064)","-0.441(-0.597,-0.238)","-0.376(-0.593,-0.139)","-0.627(-0.848,-0.373)","-0.525(-0.75,-0.249)","-0.521(-0.732,-0.35)","Clozapine","-0.406(-0.569,-0.246)","-0.5(-0.69,-0.299)","-0.507(-0.732,-0.292)","-0.594(-0.848,-0.338)","-0.28(-0.436,-0.076)","-0.325(-0.531,-0.087)","-0.358(-0.609,-0.141)","-0.464(-0.634,-0.295)","-0.313(-0.465,-0.141)","-0.471(-0.701,-0.283)","-0.46(-0.637,-0.276)","-0.276(-0.491,-0.037)","-0.411(-0.645,-0.215)"
"8","0.241(0.114,0.376)","-0.036(-0.145,0.056)","0.03(-0.095,0.168)","-0.221(-0.42,0)","-0.119(-0.309,0.116)","-0.115(-0.268,0.048)","0.406(0.246,0.569)","Haloperidol","-0.094(-0.197,-0.012)","-0.101(-0.304,0.113)","-0.188(-0.317,-0.003)","0.126(0.063,0.193)","0.081(-0.033,0.206)","0.048(-0.132,0.2)","-0.058(-0.158,0.031)","0.093(0.026,0.161)","-0.065(-0.208,0.068)","-0.054(-0.17,0.071)","0.13(-0.033,0.298)","-0.005(-0.185,0.16)"
"9","0.335(0.172,0.516)","0.059(-0.075,0.196)","0.124(-0.047,0.314)","-0.127(-0.369,0.135)","-0.025(-0.221,0.215)","-0.021(-0.186,0.156)","0.5(0.299,0.69)","0.094(0.012,0.197)","Iloperidone","-0.007(-0.223,0.232)","-0.094(-0.263,0.134)","0.221(0.104,0.341)","0.175(0.022,0.356)","0.143(-0.058,0.301)","0.036(-0.113,0.178)","0.187(0.075,0.292)","0.029(-0.147,0.201)","0.04(-0.108,0.155)","0.225(0.016,0.4)","0.089(-0.113,0.284)"
"10","0.342(0.1,0.649)","0.066(-0.142,0.299)","0.131(-0.077,0.392)","-0.119(-0.357,0.233)","-0.018(-0.298,0.316)","-0.014(-0.217,0.204)","0.507(0.292,0.732)","0.101(-0.113,0.304)","0.007(-0.232,0.223)","Loxapine","-0.087(-0.313,0.187)","0.228(0.024,0.469)","0.182(-0.055,0.441)","0.15(-0.097,0.44)","0.043(-0.177,0.286)","0.194(-0.027,0.416)","0.036(-0.239,0.323)","0.047(-0.16,0.318)","0.232(-0.009,0.552)","0.096(-0.17,0.384)"
